タイトル,あらすじ,ジャンル
打ち上げ花火、下から見るか？横から見るか？,夏休み、とある海辺の町。花火大会をまえに、「打ち上げ花火は横からみたら丸いのか？平べったいのか？」で盛り上がるクラスメイト。そんななか、典道が想いを寄せるなずなは母親の再婚が決まり転校することになった。なずなは典道を誘い、町から逃げ出そうとするのだが、母親に連れ戻されてしまう。なずなを救えなかった典道は、もどかしさからなずなが海で拾った不思議な玉を投げつける。すると、いつのまにか、連れ戻される前まで時間が巻き戻されていた…。原作は『Love Letter』『リップヴァンウィンクルの花嫁』の岩井俊二。脚本は『モテキ』『バクマン。』の大根仁。総監督を務めるのは『化物語』『魔法少女まどか☆マギカ』の新房昭之。アニメーションスタジオ「シャフト」と最強タッグを組み、“繰り返される夏の一日”を描いたラブストーリー。(C)2017「打ち上げ花火、下から見るか？横から見るか？」製作委員会,"ドラマ,ロマンス,アニメ"
君の膵臓をたべたい,高校時代のクラスメイト・山内桜良の言葉をきっかけに母校の教師となった【僕】。彼は、教え子と話すうちに、彼女と過ごした数ヶ月を思い出していく――。膵臓の病を患う彼女が書いていた「共病文庫」（＝闘病日記）を偶然見つけたことから、【僕】と桜良は次第に一緒に過ごすことに。だが、眩いまでに懸命に生きる彼女の日々はやがて、終わりを告げる。桜良の死から12年。結婚を目前に控えた彼女の親友・恭子もまた、【僕】と同様に、桜良と過ごした日々を思い出していた。そして、ある事をきっかけに、桜良が12年の時を超えて伝えたかった本当の想いを、2人は知る――。(C)2017「君の膵臓をたべたい」製作委員会 (C)住野よる/双葉社,"ドラマ,ロマンス"
鍵　ＴＨＥ　ＫＥＹ,昭和34年、美術教授の安西は、性的告白が綴られた日記を後妻の郁子にそれとなく盗み読みさせるという遊戯を始める。これによって、名器を持ち淫蕩な体質でありながら慎み深い妻の性衝動を解放し、さらに衰え始めた己の性の欲望をかき立てようというのだ。プレイボーイの木村と娘・敏子を巻き込んだ夫婦の遊戯は、木村と敏子が結婚した後もエスカレートを続けるが、郁子の裸身の写真を木村に現像させ嫉妬と興奮を覚える頃には安西の健康はすっかり蝕まれていた。妻の貞操を信頼しつつ、不貞の疑惑と嫉妬とに苛まれた安西は、すっかり性的に解放された郁子を抱き、倒れてしまう。そして郁子の体に溺れて半身不随となった安西は、郁子から日記を読み聞かされて死に至る。それは安西への残酷で人知れぬ愛情であった。（Ｃ）１９９７　東映ビデオ／東北新社,"ドラマ,ロマンス,アクション"
最低。,鬼才、瀬々敬久監督が描く、“ここから始まる”彼女たちの物語。果てしなく続くかのような日常に耐えきれず、新しい世界の扉を開く平凡な主婦。折り合いの悪い家族から逃げるように上京、都会でやっと居場所を見つけて多忙な日々を送る専門学生。奔放な母親に振り回されつつも、絵を描いている時だけ自由になれる女子高生。境遇も年齢も性格も異なる３人の女。彼女たちに共通するのは、＜ＡＶ＞と関わりを持っていること。ある者は生活を変えるきっかけをつかむため、ある者は自分の存在を実感するための唯一の手段としてＡＶ女優の道を歩み、またある者は、母親がＡＶ女優だった過去を知って思い悩む。性を商品として無造作に扱う、あまりに即物的な世界。そこに正面からぶつかってもがく彼女たちの運命は、他者との出会いや一番近くにいる人とのふれあいを通じて静かに動き始める……。(C) 2017 KADOKAWA［文芸エロス］,ドラマ
火花,若手コンビ「スパークス」としてデビューするも、まったく芽が出ないお笑い芸人の徳永は、営業先の熱海の花火大会で先輩芸人・神谷と出会う。神谷は、「あほんだら」というコンビで常識の枠からはみ出た漫才を披露。その奇想な芸風と人間味に惹かれ、徳永は神谷に「弟子にしてください」と申し出る。神谷はそれを了承し、その代わり「俺の伝記を作って欲しい」と頼む。その日から徳永は神谷との日々をノートに書き綴る。2年後、徳永は、拠点を大阪から東京に移した神谷と再会する。二人は毎日のように呑みに出かけ、芸の議論を交わし、仕事はほぼないが才能を磨き合う充実した日々を送るように。そして、そんな二人を、神谷の同棲相手・真樹は優しく見守っていた。しかし、いつしか二人の間にわずかな意識の違いが生まれ始める―「笑い」に魅せられ、「現実」に阻まれ、「才能」に葛藤しながら、「夢」に向かって全力で生きる二人の10年間の青春物語。,ドラマ
太平洋の奇跡 -フォックスと呼ばれた男-,1944年、太平洋戦争末期、玉砕の島サイパンに、アメリカ軍から“フォックス”と呼ばれ、恐れられたひとりの日本人がいた。大場栄大尉。彼は、47人の仲間の兵士たちと共に、16カ月の間、敵に立ち向かい、多くの民間人を守り抜いた。彼の誇り高き魂が、味方の日本人だけでなく敵側のアメリカ人の心も大きく動かしていった-。これは絶望的な状況の中、最後まで諦めずに生き抜いた名もなき兵士とその仲間たちの実話に基づく真実の物語である。（Ｃ）2011「太平洋の奇跡」製作委員会,"ドラマ,軍隊・戦争"
東京喰種　トーキョーグール,人の姿をしながら、人を喰らう怪人・喰種（グール）が潜む東京。平凡な大学生・カネキはある日事件にあい、喰種のリゼの臓器を移植されたことで、半喰種となってしまう。苦悩するカネキは、喰種が集まる喫茶店「あんていく」で働き始め、そこで女子高生トーカたちと出会い、喰種にも守るべき家族や友人がいることを知る。一方、喰種を駆逐すべく、人間側の捜査官・亜門、真戸が現れ、熾烈な戦いに巻き込まれていく。人の命を奪い、喰い、生き永らえる喰種の存在に疑問と葛藤を抱きつつ、あるべき世界の姿を模索する青年の未来は―(C)2017「東京喰種」製作委員会,"アクション,SF"
僕らのごはんは明日で待ってる,無口でネガティブな亮太。太陽のように明るく超ポジティブな小春。性格は正反対だけど、運命の恋だった。二人が大学生になったある日―突然、小春は亮太に別れを切り出す。実は、小春は亮太に言えない秘密を抱えていた。別れの理由がわからないまま、亮太は何度も真っ直ぐな想いを伝えるが、小春はまったく取り合わず―。社会人になったある日小春の隠す真実を知った亮太は彼女のもとに再び走り出す。出会いから7年、運命の恋が再び動き始める――！（C）2017『僕らのごはんは明日で待ってる』製作委員会,"ロマンス,ドラマ"
亜人,病気の妹を救うために研修医となった永井圭はある日、事故で死亡。しかし直後、生き返る。絶対に死なない新人類「亜人」と発覚し、崩れ去る圭の人生。国家に追われ続け、非人道的な実験のモルモットとなってしまう。そんな圭の前に突如、人類に牙をむく亜人最凶のテロリスト・佐藤が現れる。自分の運命に葛藤する圭は、佐藤が描く亜人の未来に共感できないでいた。やがて始まる、佐藤による衝撃の国獲りゲーム。衡突する人類と亜人、そして亜人と亜人。絶対に死なない男同士の終わることなき戦いが始まる。亜人たちは、永遠の命をどう生きるのか？(C)2017映画「亜人」製作委員会　(C)桜井画門／講談社,"ドラマ,アクション"
８年越しの花嫁　奇跡の実話,結婚を約束したカップル、尚志と麻衣。結婚式を間近に控え幸せ絶頂だったある日、原因不明の病が突然麻衣を襲い、意識不明となってしまう。いつ目が覚めるかわからない状態に、麻衣の両親からは「もう麻衣のことは忘れてほしい」と言われるが、尚志は諦めず麻衣の側で回復を祈り続ける。長い年月の末、ようやく麻衣は目を覚ますが、さらなる試練が二人を待ち受けていた。そして結婚の約束から8年。二人に訪れる奇跡とは…。(Ｃ)2017 映画「8年越しの花嫁」製作委員会,"ドラマ,ロマンス"
散歩する侵略者,数日間の行方不明の後、不仲だった夫がまるで別人のようになって帰ってきた。急に穏やかで優しくなった夫に戸惑う加瀬鳴海。夫・真治は会社を辞め、毎日散歩に出かけていく。一体何をしているのか…？その頃、町では一家惨殺事件が発生し、奇妙な現象が頻発する。ジャーナリストの桜井は取材中、天野という謎の若者に出会い、二人は事件の鍵を握る女子高校生・立花あきらの行方を探し始める。やがて町は静かに不穏な世界へと姿を変え、事態は思わぬ方向へと動く。「地球を侵略しに来た」真治から衝撃の告白を受ける鳴海。当たり前の日常は、ある日突然終わりを告げる。(C)2017「散歩する侵略者」製作委員会,"ドラマ,ロマンス,サスペンス"
サバイバルファミリー,東京に暮らす平凡な一家、鈴木家。さえないお父さん（小日向文世）、天然なお母さん（深津絵里）、無口な息子（泉澤祐希）、スマホがすべての娘（葵わかな）。一緒にいるのになんだかバラバラな、ありふれた家族…。そんな鈴木家に、ある朝突然、緊急事態発生！ テレビや冷蔵庫、スマホにパソコンといった電化製品ばかりか、電車、自動車、ガス、水道、乾電池にいたるまで電気を必要とするすべてのものが完全にストップ！ただの停電かと思っていたけれど、どうもそうじゃない。次の日も、その次の日も、１週間たっても電気は戻らない…。情報も断絶された中、突然訪れた超不自由生活。そんな中、父が一世一代の大決断を下す。果たして、サバイバル能力ゼロの平凡一家は電気がなくなった世界で生き延びることができるのか！？今、鈴木家のサバイバルライフの幕があがる！！(C)2017フジテレビジョン　東宝　電通　アルタミラピクチャーズ,"ドラマ,コメディー,SF,ファンタジー"
いぬやしき,定年を間近に迎える冴えないサラリーマン・犬屋敷壱郎（木梨憲武）は会社や家族から疎外された日々を送っていたが。ある日突然、医者から末期ガンによる余命宣告を受け、深い虚無感に襲われる。その晩、突如墜落事故に巻き込まれ機械の体に生まれ変わった彼は、人間を遥かに超越する力を手に入れることに。一方、同じ事故に遭遇した高校生・獅子神皓（佐藤健）は、手に入れた力を己の思うがままに行使し始めていた。自分の意思に背く人々をただただ傷つけていく獅子神と、獅子神によって傷つけられた人々を救い続ける犬屋敷。人間の本質は善なのか、それとも悪なのか…？強大な力を手に入れた2人が、いま、それぞれの想いで動き出す―。(C)2018 フジテレビジョン　東宝　講談社　(C)奥浩哉／講談社,"ドラマ,SF,ファンタジー,アクション"
オオカミ少女と黒王子,高校に入学したばかりの篠原エリカは恋愛経験ゼロなのに彼氏とのラブ話を語る“オオカミ少女”。恋愛経験豊富な友達にその存在を疑われ、街で見かけたイケメンを盗撮し、自分の彼氏として写真を見せて、その場をしのごうとする。ところが、その彼は同じ学校に通う、学校イチのイケメン“王子”佐田恭也だった！事情を打ち明けると、彼氏のふりをしてくれることになった恭也。しかし、彼が出した条件はエリカの“絶対服従”。ドSな恭也にふりまわされるうちに、ウソから始まった2人の関係が発展して・・・？※本編終了後特典映像あり Rating G (C) 八田鮎子/集英社 (C) 2016映画「オオカミ少女と黒王子」製作委員会,"コメディー,ロマンス,ドラマ"
破門　ふたりのヤクビョーガミ,映画製作出資金を持ち逃げされた桑原と二宮は、失踪した映画プロデューサー・小清水を追って関西、マカオを奔走。何とか居場所を突き止めるも寸前で逃げられてしまう。キレた桑原によるハチャメチャな追走劇はまさかの大トラブルへ発展！追っている筈が何者かに追われるハメに！進退窮まった二人は生き残りをかけた大勝負に出るが－。,"ドラマ,アクション"
人生の約束,会社の拡大にしか興味の無いIT関連企業CEO・中原祐馬（竹野内豊）の携帯に、共に起業しながらも会社を追い出す形で決別してしまった、かつての親友・航平から、ここ数日、何度も着信があった。胸騒ぎを覚えた祐馬が航平の故郷へ向かうと、そこで待っていたのは予期せぬ親友の死だった。町内会長の西村玄太郎（西田敏行）に話を聞くと、病に冒され余命僅かだった航平は、最後に曳山につながりたいと故郷の土を踏んでいた。事態を飲み込めない祐馬が線香をあげようとするも、航平の義兄・鉄也（江口洋介）は会社を追い出したあげく、航平からの電話を無視し続けた祐馬を許すことが出来ず、殴りかかってしまう。故人を惜しむ場が荒れるのを防いだのは、航平の忘れ形見ともいえる娘・瞳（髙橋ひかる）の落ち着いた対応だった。かつての親友に子どもがいたことに驚く祐馬は瞳からある頼み事をされるのだが・・・。(Ｃ)2016「人生の約束」製作委員会,ドラマ
22年目の告白－私が殺人犯です－,時効後に名乗り出た、殺人の告白。かつて５人の命が奪われ、未解決のまま時効を迎えた連続殺人事件。その犯人が、事件から22年後、突然みずから名乗り出た。会見場に現れたのは、自身の告白本を手に、不敵な笑みを浮かべる曾根崎雅人という男だった。顔をさらし、肉声で殺人を告白する曾根崎の登場にネットは熱狂！賛否両論をまき散らしながら本はベストセラーに。それだけでは終わらない。マスコミを連れての被害者遺族への謝罪、刑事への挑発、そして、サイン会まで。そのすべてがあらゆるメディアを通じて発信され、SNSで拡散されていく。それは、日本中を巻き込んだ新たな事件（ゲーム）の始まりだった……。※本編終了後特典映像あり Rating G （C) 2017 映画「22年目の告白－私が殺人犯です－」製作委員会,サスペンス
レオン(2018),磨けば美人でナイスバディの持ち主だが、消極的な性格で地味な派遣OL・小鳥遊玲音（たかなし・れおん）。彼女が務める会社の社長は、年商500億の女好きなワンマン社長・朝比奈玲男（あさひな・れお）。ある日、ふたりは同じ車の事故に巻き込まれる。翌朝目が覚めると、玲男の身体にはある異変が・・・・！なんと、心は朝比奈玲男のままだが、身体が小鳥遊玲音になってしまっていたー！！派遣OLと会社社長の、性別も社会的地位も、性格も何もかもが正反対の2人が入れ替わってしまったからさあ大変！しかもそれに乗じて、社長の身内が会社乗っ取りを企む大事件も勃発。果たして、2人が巻き起こす騒動の結末は？(C) 清智英・大倉かおり/講談社・2018映画「レオン」製作委員会,"ドラマ,コメディー"
斉木楠雄のΨ難,生まれながらにとんでもない超能力を与えられた高校生・斉木楠雄。 彼の切実な願い、それは――「普通に生きたい」 しかし、斉木に想いを寄せる妄想しまくり美女や超能力でも気配が読めないバカなど、ワケありのクラスメイトたちがムダにからんでくる。毎年恒例の一大イベント、文化祭。その日を無事にやり過ごしたいだけの斉木に、災難がふりかかりまくる。何かの陰謀か？やっかいな恋と友情、そして超能力が吹き荒れる！たかが文化祭で、まさかの地球滅亡！？ 斉木はこの災難を乗り越えることが出来るのか？,SF
めがね,春まだ浅いころ。この世界のどこかにある南の海辺の小さな町に不思議な予感が漂う。「来た」プロペラ機のタラップを降り、小さなバッグひとつを手に浜を歩いてくる、めがねをかけたひとりの女。待ち受けていた男と女に向かい、彼女は深々と一礼する。静かな波が寄せては返す。時を同じくして、同じプロペラ機からもうひとりの女が降り立った。名前はタエコ（小林聡美）。大きなトランクを引きずりつつ、手描きの地図を片手に浜を歩き、奇妙ななつかしさの小さな宿・ハマダにたどり着く。出迎えたのは宿の主人ユージ（光石研）と愛犬コージ（ケン）。迷わずにたどり着いたタエコに彼は「才能ありますよ」と告げる。「ここにいる才能」。次の日宿の一室で朝を迎えたタエコの足元に不敵な微笑みをたたえためがねの女サクラ（もたいまさこ）の姿があった。それから起こるのはいちいち不思議なことばかりだった。(C)2007 めがね商会,ドラマ
帝一の國,日本一の名門・海帝高校。ここでトップ＝生徒会長をつとめたものには、将来の内閣入りが確約されている。4月、新学期。大きな野心を持つ男が首席入学を果たす。新1年生・赤場帝一。彼の夢は「総理大臣になって、自分の国を作る」こと。2年後の生徒会長の座を狙って、誰よりも早く動き始める帝一。生徒会長になるためには、1年生の時にどう動くかが鍵となる。決してルートを見誤ってはならない。ライバルは、全国屈指の頭脳を持つ800人の超エリート高校生たち…ヤツらを蹴落として、勝ち残るためにはどうする！？野望への第一歩を踏み出した帝一を待ち受けていたのは、想像を超える罠と試練！いま、命がけの「生徒会選挙」が幕を開ける！！(C)2017フジテレビジョン 集英社 東宝　(C)古屋兎丸／集英社,コメディー
歩いても 歩いても,夏の終わりに、横山良多は妻と息子を連れて実家を訪れた。 開業医だった父とそりのあわない良多は失業中のこともあり、ひさびさの帰郷も気が重い。 明るい姉の一家も来て、横山家には久しぶりに笑い声が響く。 得意料理をつぎつぎにこしらえる母と、相変わらず家長としての威厳にこだわる父。ありふれた家族の風景だが、今日は15年前に亡くなった横山家の長男の命日だった…。(C)2008「歩いても 歩いても」製作委員会,ドラマ
ひるなかの流星,恋愛未経験の与謝野すずめが転校先の高校で出会ったのは、上京初日に迷子になっていたのを助けてくれた担任教師の獅子尾。一見軽そうだが優しくて面倒見のよい獅子尾に、すずめは生まれて初めての恋をする。すずめのことが気になりながらも、教師という立場から素直になれない獅子尾。そんななか、すずめはクラスで隣の席に座る“女子が大の苦手”なはずの馬村から告白される。果たしてすずめの初恋の行方は…？(C)2017 フジテレビジョン 東宝 集英社　(C)やまもり三香／集英社,"ドラマ,ロマンス"
ニワトリ★スター,30代も半ばになり、無目的な暮らしを続けることに焦りを感じ始めている草太（井浦新）。天真爛漫にふるまう一方で、誰も立ち入れない過去の影をまとう20代の楽人（成田凌）。東京の片隅にある奇妙なアパート「ギザギザアパートメント」で共同生活を送る二人の秘密は、大麻の密売で生活していること。互いに干渉しない、自堕落でそれなりに自由で楽しい日々。しかしそれは、楽人が思いを寄せるシングルマザーの月海（紗羅マリー）と共に生きたいと願った時、終わりを告げる。街の不良を裏で操るヤクザの魔の手。どうにも抗えないシビアな運命。二人は予測不能な出来事に巻き込まれていく――。(C)映画「ニワトリ★スター」製作委員会,"ドラマ,ロマンス"
つやのよる,「あなたと艶さん、どんな関係だったの？」艶（つや）という女と大島に駆け落ちしてきた松生春二は、奔放な妻の不貞に悩まされ続けてきた。そんな艶が病に冒され、昏睡状態に。松生は、何度裏切られても献身的に愛してきたが、彼女を失うことに耐えられない・・・その時、過去に艶が関係を持った男たちに、彼女の死期が近づいていることを伝えようと思いつく。東京で一見平穏な生活を営む何組かのカップル＆家族に、突然もたらされた艶の危篤の報。それを聞いた夫の、恋人の、父のそれぞれの様子から、艶との肉体関係を感づいてしまった女たちは、突然、自分たちの人生に割り込んできた艶という存在に困惑する。目の前に見えているはずの「大切な人」が知らない顔を見せた時、人は愛を確かめ、見つめ直す――。 原作：井上荒野『つやのよる』（新潮文庫刊）(C)2010井上荒野／新潮社(C）2013「つやのよる」製作委員会,ロマンス
ぼくは明日、昨日のきみとデートする,京都の美大に通う南山高寿は、大学まで向かう電車の中で出会った女性・福寿愛美を一目見た瞬間、恋に落ちた。勇気を振り絞って声をかけ、「また会える？」と約束を取り付けようとした高寿だったが、それを聞いた彼女は、なぜか、突然涙してしまう。涙の理由を知る由もない高寿だったが、不器用な自分を受け入れてくれる愛美にますます惹かれてゆく。そして、親友・上山からの後押しもあり、初めてのデートで告白をし、交際をスタートさせる。初めて手をつなぎ、初めて名前で呼び合う、そんな初めてのことがあるたびに泣く愛美のことを少し不思議に思いながらも、より愛美への愛情を深めていく高寿。そんな二人の関係は、誰もがうらやむ程に順調で、すべてがうまくいくものだと信じていた。しかし、初めてキスをした日、高寿は、愛美から想像もできなかった大きな秘密を明かされる…。(C)2016「ぼくは明日、昨日のきみとデートする」製作委員会,"ドラマ,SF,ロマンス,ファンタジー"
こどもつかい,新人記者の駿也は、郊外で起こった連続不審死事件を追ううちに奇妙な偶然に辿りつく。小さなこどもが失踪した３日後に、その周りの大人が死んでいるのだ。死んだ大人たちはこどもに怨まれていたという。街の人々の間に広がる、“こどもの呪い”の噂。失踪し、戻ってきたこどもたちが口ずさむ歌に事件解決の糸口を見出した駿也は、取材にのめり込んでいく…。そんな中、駿也の恋人・尚美が、ふとしたことでこどもに怨まれ、“こどもの呪い”が現実に迫りくる。尚美を守るため、呪いの核心に近づこうとする2人の前に、突如現れた謎の男“こどもつかい”。男の笛の音と共に、次々に“こどもの霊”が現れ、襲い掛かる！ “こどもつかい”とは何者なのか？ 果たして２人は、この“呪い”と“怨み”から逃れることができるのか−。,ホラー
僕の初恋をキミに捧ぐ,20歳まで生きられないと宣告された少年・垣野内 逞〈タクマ〉と、その少年に恋をした少女・種田 繭〈マユ〉。物語はふたりがまだ、8歳の頃に始まる。医師を父に持つ繭は、父が勤める病院で入院生活を送る逞と出会う。互いに恋心を抱き始めるふたりだが、偶然、逞が心臓の重い病気により 「20歳まで生きられない」ことを知ってしまう。悲しみの中、幼いふたりははかない未来に向けて、叶う見込みのない“最低の約束”をする。(C)2009「僕の初恋をキミに捧ぐ」製作委員会 (C)2005青木琴美／小学館,"ドラマ,ロマンス"
祈りの幕が下りる時,東京都葛飾区小菅のアパートで女性の絞殺死体が発見される。被害者は滋賀県在住の押谷道子。殺害現場となったアパートの住人・越川睦夫も行方不明になっていた。やがて捜査線上に浮かびあがる美しき舞台演出家・浅居博美（松嶋菜々子）。しかし彼女には確かなアリバイがあり、捜査は進展しない。松宮脩平（溝端淳平）は捜査を進めるうちに、現場の遺留品に日本橋を囲む12の橋の名が書き込まれていることを発見する。その事実を知った加賀恭一郎（阿部寛）は激しく動揺する。それは失踪した加賀の母に繋がっていた--。加賀恭一郎“最大の謎”がついに明らかに。(Ｃ) 2018 映画「祈りの幕が下りる時」製作委員会,"ドラマ,サスペンス"
