タイトル,あらすじ,ジャンル
キングダム,TVアニメの第2シリーズ。古代中国、春秋戦国時代の秦国。田舎村で下僕として暮らしていた少年、信の夢は、戦場に出て武功を上げ、いつか歴史に名を残す天下の大将軍になること。そして、先の戦で功績を上げた信は、ついに三百人将となった。そんな中、秦国の若き王、エイ政の号令の元、国の命運をかけた大戦が行われることに。そこで出会った同世代の若き将たちは互いに競い合い、時には協力しながらそれぞれの夢を掴み取るべく戦場を駆け抜ける。(C)原泰久・集英社／NHK・総合ビジョン・ぴえろ,アニメ
Dr.STONE,【最新話は一定期間後に順次プライム会員特典対象（見放題）となる予定です。】全人類が、謎の現象により一瞬で石化して数千年--。超人的な頭脳を持つ、根っからの科学少年・千空が目覚めた。文明が滅んだ石の世界(ストーンワールド)を前に、千空は、科学の力で世界を取り戻すことを決意。時を同じくしてよみがえった、体力自慢の幼馴染・大木大樹はじめ、仲間たちと、ゼロから文明を作り出していく--石器時代から現代文明まで、科学史200万年を駆け上がる！前代未聞のクラフト冒険譚(アドベンチャー)、ここに開幕！©米スタジオ・Boichi／集英社・Dr.STONE製作委員会,アニメ
ダンジョンに出会いを求めるのは間違っているだろうか,その街には多くの神々が住まい、その街の中心には地中奥深く--深淵へと至る『ダンジョン』が存在する。その街の名は迷宮都市オラリオ。女神ヘスティアと冒険者ベル・クラネルは、相も変わらず主神とたったひとりの眷族という最小構成。だが、世界最速のランクアップという偉業を成し遂げたベルには、これまでにないほどの視線が注がれ始めていた--迷宮・出逢い、そして冒険--これは再び綴られ始めた、──少年が歩み、女神が記す 【眷族の物語(ファミリア・ミィス)】──(c)大森藤ノ・SBクリエイティブ/ダンまち2製作委員会,アニメ
ダンベル何キロ持てる？,「ひびき……お前、また太った？」食べることが大好きな女子高生・紗倉 ひびき(さくら・ひびき)の心に突き刺さった友人の非情な一言。 夏休みまでに絶対に痩せてみせるとダイエットを決意したひびきだったが、 一人ではまともに運動も続けられない体たらく。こうなったらとひびきが足を運んだ先はトレーニングジムだった！ そして入会したジムで同級生のカリスマ美少女生徒会長・奏流院朱美(そうりゅういん・あけみ)と出会ったひびきは、深くて楽しい筋トレの世界へ足を踏み入れることに……。©2019 サンドロビッチ・ヤバ子，MAAM・小学館／シルバーマンジム,アニメ
はたらく細胞,人の細胞の数、およそ37兆個（新説）。細胞たちは体という世界の中、今日も元気に、休むことなく働いている。酸素を運ぶ赤血球、細菌と戦う白血球……そこには、知られざる細胞たちのドラマがあった。擬人化モノの新定番、大人気コミック「はたらく細胞」が待望のテレビアニメ化！誰もが共感できる、体内細胞擬人化ストーリー！(C)清水茜／講談社・アニプレックス・davidproduction,アニメ
炎炎ノ消防隊,全人類は怯えていた---。何の変哲もない人が突如燃え出し、炎を操る怪物“焰ビト”となって、破壊の限りを尽くす“人体発火現象”。炎の恐怖に立ち向かう特殊消防隊は、現象の謎を解明し、人類を救うことが使命！とある理由から“悪魔”と呼ばれる、新入隊員の少年・シンラは、“ヒーロー”を目指し、仲間たちと共に、“焰ビト”との戦いの日々に身を投じる！！ ©大久保篤・講談社／特殊消防隊動画広報課,アニメ
キングダム,紀元前、中国。時代は春秋戦国時代。西方の国、秦で戦災孤児として暮らしていた二人の少年、信と漂の夢は、日々鍛錬を積み、いつか戦で武功を立てて天下の大将軍になること。そんな二人にある転機が訪れる。王宮に仕える大臣、昌文君の目に留まった漂が王宮に召し上げられたのだ。だがほどなくして王宮の勢力争いに巻き込まれ大けがを負った漂が、命からがら故郷へと戻ってくる。そして漂から託された地図を頼りに訪れた村で信は、漂とうり二つの少年、政と出会う。この少年こそ秦王、エイ政…後の始皇帝であった。(C)原泰久・集英社／NHK・総合ビジョン・ぴえろ,アニメ
ドラゴンボールＺ,天下一武道会の壮絶な闘いから５年。大人になった孫悟空は、結婚したチチとの間に息子の悟飯をもうけ、平穏な日々を過ごしていた。だが、ある日突然、宇宙からやって来た謎の男によって、平和はもろくも崩れ去ってしまう。ラディッツと名乗る彼は、強靱な尻尾を持ち、悟空やクリリンさえも一撃で吹き飛ばしてしまうほどのパワーを持っていた。このラディッツこそ、惑星ベジータを出身地にもつ戦闘民族サイヤ人にして、星が滅亡した際に生き残った、孫悟空の実の兄だった！　ラディッツは力なき悟飯を人質に取り、自分たちの仲間に加わるよう悟空に迫る。サイヤ人の狙いは地球人を絶滅させ、星を我がものにすること。邪悪な野望に手を貸すことなど出来るはずがない。悟空は宿命のライバル・ピッコロとコンビを組み、ラディッツとの闘いに挑む！(C)バードスタジオ／集英社・東映アニメーション,アニメ
Re:ゼロから始める異世界生活,コンビニからの帰り道、突如異世界へと召喚されてしまった普通の男子高校生、菜月昴。右も左も分からない異世界に放り出され、途方に暮れていたスバルに手を差し伸べたのは美しい銀髪の少女だった。絶望から救ってくれた少女に何かお返しがしたいスバルは、少女が盗まれてしまった大切なものを一緒に探すことになるのだが……。(c)長月達平・株式会社KADOKAWA刊／Re:ゼロから始める異世界生活製作委員会,アニメ
新世界より,偽りの神に抗え。,アニメ
東京喰種トーキョーグール,「この世界は間違っている――」 東京に潜む『絶望』。 それは、人々に『死』以上の恐怖を与える怪人――“喰種”（グール）。 彼らはヒトに紛れ、ヒトを狩り、その死肉を喰らう。食物連鎖の頂点に君臨する“喰種”に怯えながら、人間たちはこの『間違った世界』を生きていた。 読書好きの大学生・カネキは、行きつけの喫茶店「あんていく」にて、リゼという少女に出会う。年齢や境遇、読書の趣味も同じという事で、急接近する二人だが…… 僕は小説の主人公でも何でもない… だけど…もし仮に僕を主役にひとつ作品を書くとすれば ――それはきっと、“悲劇”だ 『赫子』と呼ばれる捕食器官を用いて人間を襲い、その殺傷能力の高さから「化け物」と恐れられる“喰種”だが、彼らが生きる方法は、ヒトを喰う以外に存在しない。 カネキは、この歪んだ世界に疑問と葛藤を抱きながら、逃れようのない負の連鎖に巻き込まれていく。,アニメ
東京喰種トーキョーグール,――これは「絶望」に囚われた、青年の物語―― 人間の死肉を喰らう怪人“喰種”が潜む街――東京。 大学生のカネキは、ある事故がきっかけで“喰種”の内臓を移植され、半“喰種”となる。 人を喰らわば生きていけない、だが喰べたくはない。 人間と“喰種”の狭間で、もがき苦しむカネキ。 どちらの世界にも「居場所」が無い、 そんな彼を受け入れたのは“喰種”芳村が経営する喫茶店「あんていく」だった。 そしてカネキは自らが“喰種”と人間、ふたつの世界に「居場所」を持てる唯一人の存在であると知る。 互いが歪めた世界を正すため、カネキは“喰種”と人間の想いが交錯する迷宮へと立ち入るが…。,アニメ
魔王様、リトライ！,見た目は魔王、中身は一般人の勘違い系ファンタジー！大野晶は自身が運営する「GAME」内のラスボス「魔王・九内伯斗」にログインしたまま異世界へと飛ばされてしまう。そこで出会った片足が不自由な少女と旅を始めるが、圧倒的な力を持つ「魔王」の存在を周囲が放っておくことはなかった。魔王を討伐しようとする国や聖女から狙われ、一行は行く先々で様々な騒動を巻き起こすことに…！,アニメ
ありふれた職業で世界最強,【最新話は一定期間後に順次プライム会員特典対象（見放題）となる予定です。】“いじめられっ子”の南雲ハジメは、クラスメイトと共に異世界へ召喚されてしまう。つぎつぎに戦闘向きのチート能力を発現するクラスメイトとは裏腹に、錬成師という地味な能力のハジメ。異世界でも最弱の彼は、あるクラスメイトの悪意によって迷宮の奈落に突き落とされてしまい--!?脱出方法が見つからない絶望の淵のなか、錬成師のまま最強へ至る道を見つけたハジメは、吸血鬼のユエと運命の出会いを果たす--。「俺がユエを、ユエが俺を守る。それで最強だ。全部薙ぎ倒して世界を越えよう」奈落の少年と最奥の吸血鬼による“最強”異世界ファンタジー、開幕！--そして、少年は“最強”を超える。 ©白米良・オーバーラップ/ありふれた製作委員会,アニメ
あたしンち,“タチバナ家”は日本のどこにでも存在し、誰でもが共感できる、等身大の幸せな家庭。料理がヘタでなまけものの母、トイレのドアを開けっ放しにする父、ちょっとマヌケな女子高生の娘・みかん、一見クールな中学生の息子・ユズヒコ。家族みんなで楽しむことのできるアニメの決定版をお届けします。,アニメ
盾の勇者の成り上がり,ごく平凡なオタク大学生・岩谷尚文は、図書館で出会った1冊の本に導かれ異世界へと召喚されてしまう。与えられた使命は、剣、槍、弓、盾をまとう四聖勇者の一人「盾の勇者」として、世界に混沌をもたらす災い「波」を振り払うこと。大冒険に胸を膨らませ、仲間とともに旅立った尚文。ところが、出発から数日目にして裏切りに遭い、金も立場もすべて失ってしまう。他人を信じられなくなった尚文は奴隷の少女・ラフタリアを使役し、波に、世界に、立ち向かおうとするが-。果たして、この絶望的状況を打破することはできるのか?すべてを失った男の成り上がりファンタジー、開幕。©2019 アネコユサギ／KADOKAWA／盾の勇者の製作委員会,アニメ
スラムダンク,中学校三年間で50人もの女の子にふられ続けた悲しい男・桜木花道。50人目の女子生徒に「私、バスケット部の小田君が好きなの」と言われたショックが尾を引いて、湖北高校へ入学してからも“バスケット”という言葉に異常に反応し、立ち直れずにいた。そんなある日のこと、一人の美少女から声をかけられる。「バスケットはお好きですか？」彼女は晴子。たちまち恋に落ちた花道は、一緒に登下校する日を夢見てバスケットのトレーニングを始める。ところが、晴子はバスケ部のルーキー・流川楓に憧れていたのだ！天才を自称する花道は、バスケットボール部に入部。恋のライバルである流川や、晴子の兄でキャプテンの赤木たちに触発されながら、次第に成長していく。そして、天才・仙道をはじめとする様々なライバルたちとの激闘。彼らとしのぎを削り、目指せ、全国制覇！(C)井上雄彦・アイティープランニング・東映アニメーション,アニメ
ハイキュー!!,春の高校バレー宮城県大会・決勝戦。烏野高校排球部の前に立ちはだかるのは、絶対王者と呼ばれる白鳥沢学園高校。最強のスパイカー・牛島を前に、果たして勝機はあるのか!?全国大会出場へ向けた激闘がいま始まる――。(Ｃ)古舘春一／集英社・「ハイキュー!! 3rd」製作委員会・MBS,アニメ
女子高生の無駄づかい,浪費する、青春──。 WEBコミック誌「コミックNewtype」で大人気連載中の学園ガールズコメディが待望のTVアニメ化決定！ちょっと残念な女子が集う、さいのたま女子高校を舞台に、とてつもないバカ・田中(通称：バカ)、アニメや漫画を愛するオタク女子・菊池(通称：ヲタ)、いつも無表情でロボットのような少女・鷺宮(通称：ロボ)を中心に、個性豊かで魅力的な仲間たちが、女子高生というキラめきに溢れた青春を無駄に浪費していく抱腹絶倒のJK学園コメディが今、幕を開ける！ ©ビーノ／ＫＡＤＯＫＡＷＡ／女子高生の無駄づかい製作委員会,アニメ
『ワンパンマン』第2期,趣味でヒーローを始めた男、サイタマ。3年間の特訓により無敵のパワーを手に入れ、あらゆる敵を一撃（ワンパン）で倒すヒーローである。ひょんなことから弟子となったジェノスと共にヒーロー協会で正式なヒーロー活動を開始する。怪人発生率が異常に高くなる中、大予言者シババワが遺した「地球がヤバい」予言を受けて、対策に乗り出そうとするヒーロー協会。そこにヒーロー狩りのガロウが現れる。 ©ONE・村田雄介／集英社・ヒーロー協会本部,アニメ
ダンジョンに出会いを求めるのは間違っているだろうか,迷宮都市オラリオ──『ダンジョン』と通称される壮大な地下迷宮を保有する巨大都市。未知という名の興奮、輝かしい栄誉、そして可愛い女の子とのロマンス。人の夢と欲望全てが息を潜めるこの場所で、少年は一人の小さな「神様」に出会った。「よし、ベル君、付いてくるんだ! 【ファミリア】入団の儀式をやるぞ! 」「はいっ! 僕は強くなります! 」どの【ファミリア】にも門前払いだった冒険者志望の少年と、構成員ゼロの神様が果たした運命の出会い。これは、少年が歩み、女神が記す、── 【眷族の物語(ファミリア・ミィス)】──(c)大森藤ノ・SBクリエイティブ/ダンまち製作委員会,アニメ
彼方のアストラ,宇宙への往来が当たり前になった近未来で、9名の少年少女たちが惑星キャンプへと旅立つ。宇宙旅行に胸を躍らせながら出発した彼らを待ち受ける、予想外の事態とは……！？「マンガ大賞2019」大賞を受賞！『SKET DANCE』の篠原健太が描く大人気SFサバイバルストーリーが待望のTVアニメ化決定！ ©篠原健太／集英社・彼方のアストラ製作委員会,アニメ
七つの大罪 戒めの復活,いまだ人と、人ならざるものの世界が、　分かれてはいなかった時代。　　ヘンドリクセンとドレファスの二大聖騎士長の支配から　王国を奪還した＜七つの大罪＞とエリザベス、ホーク。　王国誕生祭も無事に終わり、　リオネス王国にようやく平和が訪れた。　　だが、次なる脅威の予兆は、　確実に生まれつつあった──(C)鈴木央・講談社／「七つの大罪 戒めの復活」製作委員会・MBS,アニメ
金色のガッシュベル,天才ゆえに孤独な中学生・高嶺清麿。彼のもとに突然、不思議な子供が飛び込んできた。名前はガッシュ、魔界から送られてきたという。ガッシュは世界中に送り込まれた百人の魔物の子の一人。パートナーと共に戦い合って、最後に残った一人が魔界の王様になれるというのだ。王位を目指すガッシュは、清麿が手にした魔本の言葉を受け、襲いかかるライバルたちと激しいバトルを繰り広げてゆく。喜び、哀しみ、そしてかけがえのない絆…闘いの中で、やさしい王様になることを決意するガッシュ。心を閉ざしていた清麿も、ガッシュのピュアな気持ちに触れ、様々な経験を積みながら精神的成長を遂げてゆく。(C)雷句誠／東映アニメーション,アニメ
フルーツバスケット 1st season,※最新話は一定期間後に順次プライム会員特典対象（見放題）となる予定です。高校生の本田透は、唯一の家族だった母親を亡くしてから一人でテント暮らしをしていた。ところが、テントを張ったその場所は由緒正しい『草摩家』の敷地内だった！草摩紫呉に家事の腕を買われた透は、学校の王子様的存在の草摩由希、そして由希を敵視する草摩夾と一緒に住むことに。しかし、透はまだ知らない。『草摩家』が何百年も前からある呪いに縛られていることを……。©高屋奈月・白泉社／フルーツバスケット製作委員会,アニメ
この素晴らしい世界に祝福を！,ゲームをこよなく愛するひきこもり・佐藤和真（カズマ）の人生は、交通事故（!?）によりあっけなく幕を閉じた……はずだった。だが、目を覚ますと女神を名乗る美少女・アクアは告げた。「ねぇ、ちょっといい話があるんだけど。異世界に行かない？１つだけあなたの好きなものを持って行っていいわよ」「……じゃあ、あんたで」RPGゲームのような異世界で、憧れの冒険者生活エンジョイ！めざせ勇者！……と舞い上がったのも束の間、異世界に転生したカズマの目下緊急の難問は、生活費を工面することだった！平凡な冒険者・カズマが過ごす異世界ライフの明日はどっち!?©2016 暁なつめ・三嶋くろね／KADOKAWA／このすば製作委員会,アニメ
ヴィンランド・サガ,千年紀の終わり頃、あらゆる地に現れ暴虐の限りを尽くした最強の民族「ヴァイキング」。最強と謳われた戦士の息子トルフィンは幼くして戦場を生き場とし、幻の大陸ヴィンランドを目指す。激動の時代で巻き起こる、本当の戦士の物語(サガ)。,アニメ
約束のネバーランド,突然終わりを告げた、グレイス＝フィールドハウスの幸せな日常。ハウスは農園。子どもたちは、鬼に飼われる食用人間。大好きだったママは子どもたちの監視役。「これ以上、家族が死ぬのは嫌だ…！」そう願ったエマ達は、日常に潜んでいたあらゆる意図を解き明かしていく。鬼vs子ども、命をかけた脱獄計画が始まる--（C）白井カイウ・出水ぽすか／集英社・約束のネバーランド製作委員会,アニメ
どろろ,時は戦国。 醍醐の国の主である景光は、ある寺のお堂で 十二体の鬼神像に領土の繁栄を願い出た。 それと引き換えに生まれた景光の世継ぎは身体のあちこちが欠けており、 忌み子としてそのまま川に流され、捨てられてしまう。時は流れ、鬼神は景光との約定を果たし、国には平安が訪れた。 そんなある日〝どろろ〟という幼い盗賊は、ある男に出会う。それは、鬼か人か──。両腕に刀を仕込む全身作り物の男〝百鬼丸〟は、その見えない瞳で襲い来る化け物を見据えていた。,アニメ
かぐや様は告らせたい～天才たちの恋愛頭脳戦～,家柄も人柄も良し!!将来を期待された秀才が集う秀知院学園!!その生徒会で出会った、副会長・四宮かぐやと会長・白銀御行は互いに惹かれているはずだが…何もないまま半年が経過!!プライドが高く素直になれない2人は、面倒臭いことに“如何に相手に告白させるか”ばかりを考えるようになってしまった!?恋愛は成就するまでが楽しい!!新感覚“頭脳戦”ラブコメ、開戦!!(C)赤坂アカ／集英社・かぐや様は告らせたい製作委員会,アニメ
この素晴らしい世界に祝福を！,不慮の事故により異世界に転生した、ゲームを愛するひきこもり・佐藤和真（カズマ）は、「RPGゲームのような異世界で、憧れの冒険者生活エンジョイ！めざせ勇者！」という夢はイマイチ叶わないものの、なんとかそれなりに、異世界での日々を送っていた。転生特典として道連れにしてきた女神・アクア。一日一発しか魔法を撃てないアークウィザード・めぐみん。攻撃が当たらないクルセイダー・ダクネス。能力は高いのにとんでもなく残念な３人のパーティメンバーたちとも、なんとかそれなりに、クエストをこなしていた。---そんなある日。機動要塞デストロイヤーの脅威からアクセルの街を救ったカズマたちに、王都からやって来た使者は言い放った。「冒険者、サトウカズマ。貴様には現在、国家転覆罪の容疑がかけられている！」……平凡な冒険者・カズマが過ごす異世界ライフの明日はどっち!?,アニメ
ソードアート・オンライン,2022年。人類はついに完全なる仮想空間を実現した。VRMMORPG(仮想大規模オンラインロールプレイングゲーム)｢ソードアート・オンライン｣のプレイヤーの一人であるキリト。SAOの世界を満喫していた彼は、ログインした他の1万人のプレイヤーと共にゲームマスターから恐るべき託宣を聞かされる。それは、ゲームをクリアすることだけが、この世界から脱出する唯一の方法であること。そして、このゲーム内でゲームオーバーは、現実世界での“死”を意味すること。それが、このゲームの恐るべき全貌であった。キリトは、いち早くこのMMOの“真実”を受け入れ、パーティーを組まないソロプレイヤーとして、終わりの見えない死闘に身を投じていく……。(C)川原 礫／アスキー・メディアワークス／SAO Project,アニメ
こねこのチー　ポンポンらー大冒険,やんちゃな子猫のチーは、小さな体でいつも元気いっぱい。やさしい山田一家と一緒に楽しく暮らしているよ。大好きなミルクを飲んで、のんびり昼寝したり、公園にお散歩したり。大好きなヨウヘイや愉快な猫友だちと、たまにケンカすることもあるけれど、すぐに仲直り。何気ない毎日は子猫の目から見ると、ワクワクとドキドキが連続の大冒険！,アニメ
妖怪ウォッチ,ごくごく普通の街「さくらニュータウン」に暮らす、ごくごく普通の小学5年生「天野景太（ケータ）」は、ある夏の日に白い奇妙な生き物「ウィスパー」に遭遇した。 それからケータにつきまとうようになったウィスパーは、なんと妖怪だったのだ！ 不思議な時計「妖怪ウォッチ」をウィスパーから渡されたケータは、その日から街のいたるところに現れる妖怪たちが見えるようになってしまった・・・！ 日常にあふれる困ったことは、すべて妖怪の仕業だった！？ケータは困ったことを引き起こす妖怪を説得し、時には戦って問題を解決する。そして、その妖怪と友達になるんだ！(c)L5/YWP･TX,アニメ
PSYCHO-PASS サイコパス （フジテレビオンデマンド）,あらゆる感情、欲望、社会病質的心理傾向はすべて記録され、管理され、大衆は「良き人生」の指標として、その数値的な実現に躍起になっていた。人間の心の在り方、その個人の魂そのものを判定する基準として取り扱われるようになるこの計測値を人々は「PSYCHO-PASS（サイコパス）」の俗称で呼び慣わした。 犯罪に関する数値も“犯罪係数”として計測され、犯罪者はその数値によって裁かれる。治安維持にあたる刑事たちは常に、犯人を捕まえる実動部隊となる“執行官”と、執行官を監視・指揮する“監視官”のチームで活動する。自らが高い犯罪係数を持ち、犯罪の根源に迫ることのできる捜査官こそが優秀な“執行官”となりうる。それゆえに、犯罪者になりかねない危険も孕む“執行官”は、その捜査活動を冷静な判断力を備えたエリートである“監視官”に監視されている。（C）サイコパス製作委員会,アニメ
ワールドトリガー,三門市。ある日この町に異世界への門が開いた。「近界民(ネイバー)」後にそう呼ばれる異次元からの侵略者が門付近の地域を蹂躙、街は恐怖に包まれた。近界民に地球上の兵器は効果が薄く、都市の壊滅は時間の問題と思われた。しかし、その時突如現れた謎の一団が近界民を撃退した。「こちら側」の世界を守るため戦う組織、界境防衛機関「ボーダー」だ。彼らはわずかな期間で巨大な基地を作り上げ、近界民に対する防衛体制を整えた。それから4年。高校生の三雲修もまた、ボーダーに所属していた。ある日、修のクラスに転校生がやってきた。空閑遊真と名乗る少年は、何故かボーダーの人間にのみ携帯を許される「トリガー」と呼ばれる武器を持っていた。遊真は言う。「俺は門の向こうの世界から来た。お前らが言うとこの「近界民」ってやつだ」と。遊真と修、二人の物語が動き始める！ (C)葦原大介／集英社・テレビ朝日・東映アニメーション,アニメ
異世界チート魔術師,【最新話は一定期間後に順次プライム会員特典対象（見放題）となる予定です。】どこにでもいる普通の高校生・西村太一と、運動神経抜群でモデル体型の美少女・吾妻凛。平和な高校生活を送っていた二人はある日突然、不思議な魔法陣の光に包まれ、見知らぬ土地へ迷い込んでしまう。そこは恐ろしい魔物が生息し、獣人やドワーフ、エルフといった多様な種族が存在する、まるでファンタジーのような世界。異世界へと導かれた太一と凛は、ここで生き抜くために「冒険者」になることを決意するが、その適性検査で、二人が“チート”な魔力を持っていることが判明して……。　©2019 内田健／主婦の友インフォス・KADOKAWA／「異世界チート魔術師」製作委員会,アニメ
『ワンパンマン』第2期,趣味でヒーローを始めた男、サイタマ。彼は3年間の特訓により無敵のパワーを手に入れた。だが、あまりに強くなりすぎてしまったゆえに、どんな強敵が相手でもワンパンチで決着がついてしまう。「圧倒的な力ってのは、つまらないもんだ」 そんな平熱系最強ヒーローの前に、今日も新たな敵が現れる。今日こそ本気が出せるのか!?(C)ONE・村田雄介／集英社・ヒーロー協会本部,アニメ
