タイトル,あらすじ,ジャンル
映画 それいけ! アンパンマン おもちゃの星のナンダとルンダ,おもちゃの星からやってきた、ナンダとルンダ。なんでもおもちゃに変えられるおもちゃスティックを、落としてしまうんだ。雷に打たれ、はなればなれになってしまったナンダとルンダは、アンパンマンやばいきんまん達と一緒におもちゃスティックを探しにでかけるよ!,"キッズ,アニメ,ファミリー"
映画 それいけ! アンパンマン ミージャと魔法のランプ,ふしぎなランプから現れた、ランプの精霊ミージャちゃん。ミージャちゃんの魔法の腕輪が壊れて、クリームパンダとコキンちゃんは、ランプの世界にとじこめられます。魔法の腕輪を直さないと元の世界に戻れないと知った三人は、力を合わせてランプ山を目指します!,"キッズ,アニメ,ファミリー"
曇天に笑う〈外伝〉～決別、犲の誓い～,三百年に一度蘇る魔物･大蛇復活の十一年前。歴史の裏で国を護ることを志した者たちがいた。それは大蛇討伐のため結成された部隊･犲 (やまいぬ)。曇家当主･大湖が師範を務めるその隊には、天火だけでなく、天火の盟友･安倍蒼世、佐々木妃子らの姿もあった。だがある事件をきっかけに、天火は志を同じくした犲たちと、道を分かつこととなる。部隊に属したままでは、護れぬものがあったから─。明治十二年。大蛇が滅び、晴れ渡る滋賀の空の下で、犲と曇兄弟たちは天火の秘めたる思いを知る。,"アニメ,アクション,ファンタジー"
映画 それいけ! アンパンマン りんごぼうやとみんなの願い,かっこいいヒーローに憧れるりんごぼうやの“ふるさと”アップルランド。ある日突然、りんごがなにものかに毒りんごにされてしまいます。大切な“ふるさと”をもとどおりにするため“魔法の種”をさがすりんごぼうや。アンパンマンとばいきんまんも、力を合わせてがんばります。,"キッズ,アニメ,ファンタジー"
映画 それいけ! アンパンマン ブルブルの宝探し大冒険!,森で出会ったライオンの男の子、ブルブル。宝探しの一族に生まれたというブルブルは、一枚の宝の地図を持っていた。地図に描かれていたのは、南の海に浮かぶ「オニツノ島」…。ブルブルは、アンパンマンたちと一緒に、冒険の旅に出かけることに。宝物は、見つけられるかな?,"キッズ,アニメ,ファミリー"
映画 それいけ! アンパンマン とばせ! 希望のハンカチ,いたずら好きのオバケ･どろろん、ずろろん、でろろん。みんなをにオバケの姿に変身させてしまいます。学校では、みみせんせいと一緒にみんなが歌と手遊びをしてお遊戯会の練習をしています。楽しそうな音楽とジャムおじさんの作った美味しいパンの匂いにつられて、オバケ達もやってきて…。,"キッズ,アニメ,ファミリー"
映画 それいけ! アンパンマン よみがえれバナナ島,おいしいバナナがいつもあふれている南の国、バナナ島には、ちょっとワガママだけど元気いっぱいの女王･バンナたちが住んでいます。島の一大イベント“バナナ祭り”に招待されたアンパンマンたちでしたが、島は雲に覆われ、寒さのためにバナナが全部枯れてしまっていました。アンパンマンたちに助けてもらうことが面白くない、意地っぱりのバンナでしたが…。,"キッズ,アニメ,ファミリー"
曇天に笑う〈外伝〉～宿命、双頭の風魔～,かつて天火に金城白子と名付けられた男。彼は大蛇復活を宿願とする風魔一族の頭領であり、双子の弟と二人で、十代目風魔小太郎として一族を束ねてきた。忌み子とされる双子として生まれ、本来は片方が殺される定めだった兄と弟。二人は互いを自分自身のように思いながらも、心の奥底では互いが持ち得ぬものを切望しあう。同胞の屍の山を築き、その頂きで長の座を得た二人が、本当に得たかったものとは―。,"アニメ,アクション,ファンタジー"
映画 それいけ! アンパンマン ブラックノーズと魔法の歌,嵐の夜に暗闇の森に飛ばされ、ブラックノーズに育てられたカーナ。ある日、ブラックノーズの命令でアンパンマンワールドにやってきたカーナは“暗やみの笛”を吹いて人々から幸せな気持ちをうばってしまいます。「歌やダンスやおいしいパンはまちがった幸せだよ」と教えられて育ったカーナ。自分がだまされていたと知ったときには、ブラックノーズによって、世界は真っ暗闇になってしまいました…。がんばれ、まけるな、アンパンマン。カーナとともに、明るい世界をとりもどせ!,"キッズ,アニメ,ファミリー"
映画 それいけ! アンパンマン すくえ! ココリンと奇跡の星,とおい宇宙のヘンテ星から星の危機をすくう為、アンパンマンワールドへ助けを求めに来たココリン。今まで食事といえばカプセルだけで、“食べる喜び”を知らなかったココリンはジャムおじさんの作ったパンを食べて、そのおいしさにびっくり! 『パン作りをならい、ヘンテ星の危機をすくえば人気者になれる!」そう思って張り切るココリンですが、みんなのいう『まごころ こめて…』という意味がわかりません。なげだしそうになったココリンのところへ悪だくみを考えたばいきんまんたちが現れて…。,"キッズ,アニメ,ファミリー"
怪盗グルーのミニオン危機一発,月を盗んで世界一の怪盗の名声を手に入れたグルーはあれから、娘として迎えた孤児3姉妹、そしていたずら好きな黄色い軍団ミニオンたちと一緒に楽しく暮らしていた。ところがある日、反悪党同盟の捜査官と名乗る美女、ルーシーに誘拐され、反悪党同盟の本部へ連れて行かれる。そして、北極圏から消えた極秘研究所から、突然変異を起こすPX40という薬が盗まれたことを聞かされ、盗んだ犯人を突き止めるよう依頼される。それと 時を同じくして、相棒であったネファリオ博士、そして、仲間のミニオンたちの姿が消えてしまった。,"キッズ,アニメ,ファミリー"
曇天に笑う〈外伝〉～桜華、天望の架橋～,長男、天火が大津を離れ、空丸と宙太郎が家名を継ぐ重さを実感し始めた頃。鍛錬に励む空丸と武田を、尋常ならざる何者かが襲撃する。男の力と身のこなし、そして笑い方は、天火とどこかで似ていた。しかも、その体には大蛇の鱗が…。男の手がかりを追うなかで、思わぬ秘密を知る空丸たち。そんな彼らの前に、蒼世と鷹峯が立ちはだかる。政府への膨らむ疑念。去来する過去。互いの譲れない思いがぶつかり合う。そして空丸は知る。あの男もまた、かつての自分と同じだということに。,"アニメ,アクション,ファンタジー"
映画 それいけ! アンパンマン かがやけ! クルンといのちの星,年に一度、「いのちの星」に感謝するために開かれる「星祭り」。アンパンマンワールドでは、お祭りの準備にみんな大忙し! そんなある日、ばいきんまんのゴミ箱から飛び出してきた、クルン。クルンは、自分がどこからやってきたのかわからない、ちょっと不思議な子で…?,"キッズ,アニメ,ファミリー"
映画 それいけ! アンパンマン だだんだんとふたごの星,流れ星をふらすことが大好きで、おてんばなキララと心やさしく星を見守るキラリはふたごの星の妖精。ある日ケンカした二人は、はずみで地上に落下してしまいます。キララは湖のほとりに落ちたところをアンパンマンに助けられます。その頃ヒヤリ城では、ドクター･ヒヤリがロボットのだだんだんに心を与えてもっと強くする実験をしていました…。,"キッズ,アニメ,ファミリー"
怪盗グルーの月泥棒,「世界で最もおかしな強盗」の名を狙うグルー (声の出演スティーヴ･カレル)。子分たちのミニオン軍団を率いて月を盗み取るという今世紀最大の犯行を企てるが、孤児の三姉妹が登場し、グルーの心が揺れる。,"キッズ,アニメ,ファミリー"
映画 それいけ! アンパンマン 夢猫の国のニャニイ,百年に一度、ドリーム彗星がアンパンマンワールドに近づくある日、メロンパンナちゃんは不思議な卵の夢をみます。朝、目が覚めるとあの卵が本当にあるではありませんか。中から飛び出したのは子猫のニャニイ。その日からメロンパンナちゃんはニャニイを一生懸命育てます。,"キッズ,アニメ,ファミリー"
ボックストロール,チーズブリッジの町では、夜な夜な現れては子供を襲って食べるという恐ろしいモンスター“ボックストロール”の噂が信じられていた。町の権力者であるポートレイ＝ラインド卿は、悪徳害虫駆除業者のスナッチャーに駆除を依頼し、トロールたちは次々と捕えられていく。そんな人々に忌み嫌われるトロールたちと地下で楽しく暮らしていた人間の男の子エッグス。噂とは異なり、寝静まった夜の町でガラクタを集めては発明に勤しむ心優しいトロールたちであったが、エッグスの親代わりのフィッシュまでも捕獲されてしまい、救出のために地上に出たエッグスは初めて人間の社会を知ることに。大切な家族を取り戻すため、エッグスはラインド卿の娘の勝気な少女ウィニーと共にスナッチャー率いる駆除軍団に立ち向かっていく―。,"アニメ,ファンタジー,キッズ"
映画 それいけ! アンパンマン 妖精リンリンのひみつ,アンパンマンの強さのひみつは、顔を焼くときに入れる勇気の花のジュース。それを知ったばいきんまんは、たったひとりで勇気の花を守っている妖精リンリンをだまし、リンリンが街に行っているあいだに勇気の花の台地をめちゃめちゃにしてしまいます。,"キッズ,アニメ,ファミリー"
映画 それいけ! アンパンマン シャボン玉のプルン,シャボン玉姫と一緒に町のシャボン玉ショーに出ているプルンの悩みは、ほかのシャボン玉ガールズのような大きなシャボン玉をつくれないこと。くやしさのあまりステージをさぼってしまいます。そんなある日、クリームパンダと一緒に森の谷底に落っこちてしまったプルンは、たくさんあぶない目にあったあと、アンパンマンに助けられてシャボン玉城へ帰ります。ところがお城は、ばいきんまんが発明した気味の悪いシャボン玉に支配されていました。みんなを助けられるのは、ちっちゃくても不思議なパワーをもつプルンのシャボン玉しかありません。,"キッズ,アニメ,ファミリー"
映画 それいけ! アンパンマン いのちの星のドーリィ,ある日、パトロール中のアンパンマンは海に漂う箱の中から人形を助け出します。その夜、いのちの星からアンパンマンと同じように命をもらった人形ドーリィは、すっかり大喜び。生きていることすべてが楽しくてたまらないドーリィは、勝手気ままな行動で周りのみんなを困らせてしまいます。そんなとき、ばいきんまんの企みで、アンパンマンがかびだらけになって、その体からいのちの星が消えてしまいます…。,"キッズ,アニメ,ファミリー"
映画 それいけ! アンパンマン ハピーの大冒険,緑あふれるドデカツリーに住む葉っぱのハピーは、ちいさな体に負けん気だけは人一倍の男の子。アンパンマンのように強くなりたくて、アンパンマンに弟子入りしたのですが、毎日、地味な人助けばかりですっかりやる気をなくしてしまいます。そんなとき何でも食い荒らす毛虫のグリンガを連れたばいきんまんが現れ、ハピーを力で相手をねじふせる悪の道へと誘います。やがて、葉っぱを食い荒らされ、ハピーの村は絶滅の危機に。必死にたたかうアンパンマン。そのときハピーが見た、アンパンマンの本当の勇気とは!?,"キッズ,アニメ,ファミリー"
映画 それいけ! アンパンマン ルビーの願い,オーロラの国には、それぞれの色の絵筆にまたがって、空いっぱいにオーロラを描く5人のオーロラ娘とオーロラ姫が暮らしていました。その中のひとり、ルビーはとてもおてんばで、オーロラ姫を怒らせて、赤い小鳥のすがたに変えられてしまいました。ふたたびオーロラの国にもどるためには、ブラックロック島にある、三つの願いがかなう石『オーロラの雫』を手に入れなくてはなりません。,"キッズ,アニメ,ファミリー"
映画 それいけ! アンパンマン ロールとローラ うきぐも城のひみつ,ある日、雲の中の古いお城、うきぐも城にまよいこんだロールパンナ。それは汚れた雲を吸いこんできれいな雲をはきだし、恵みの雨を降らせてくれるふしぎなお城でした。ところが、そこへ城を横取りしようとするばいきんまんたちがあらわれて、スーパーモグリンで攻撃を始めました。黒いビーム光線を浴びたロールパンナは、冷たい心のブラックロールパンナに変身してしまいます。アンパンマンたちはロールパンナをすくうため立ち上がります。がんばれ、アンパンマン!,"キッズ,アニメ,ファミリー"
映画 それいけ! アンパンマン 人魚姫のなみだ,海底のうずまき城に住むおてんば人魚のサニー姫は、陸の世界に行くことを夢見ています。ある日サニーは、“髪につけると人間になれる”不思議な紅色ヒトデの髪飾りをこっそり陸へ持ち出してしまいます。憧れの陸の世界で、人間の女の子になったサニーはアンパンマンたちに迎えられ、学校に行ったり、優しいしょくぱんまんにダンスを習ったりと、心おどる毎日。でもその頃、海底では怪しい動きが…。,"キッズ,アニメ,ファミリー"
映画 それいけ! アンパンマン ゴミラの星,ある日アンパンマンたちのもとにヤーダ星のお姫様、ヤーダ姫がやってきます。緑に溢れたヤーダ星がいつしかゴミでいっぱいになり、住む場所を追われてしまったために、助けを求めてやって来たのでした。話を聞いたアンパンマンと仲間たちは、ゴミが大好物なゴミラならヤーダ星を救ってくれるかもしれないと思いつき、ゴミラを探しに出ることに…。,"キッズ,アニメ,ファミリー"
映画 それいけ! アンパンマン 勇気の花がひらくとき,お城の生活にうんざりしたキララ姫はキラキラ星を抜けだし、アンパンマンと宇宙で出会います。アンパンマンに連れられてやってきたアンパンマンワールドはキララ姫にとって目新しい事ばかり。みんなとも仲良くなり自由な生活を楽しみますが、大好きなアンパンマンを一人じめしたくていらいらしたキララ姫は「勇気の花のジュース」の瓶をつい割ってしまいました…。,"キッズ,アニメ,ファミリー"
劇場版 HUNTER×HUNTER The LAST MISSION,【劇場版第2弾】ゴンとキルア、クラピカ、レオリオは、戦いの祭典「バトルオリンピア」が開催される天空闘技場を訪れていた。多くのハンター、要人たちが詰め掛ける会場を武装集団が襲撃! 男の正体は、数十年前に葬られたはずの《影》!! 目的は、ネテロに葬られた仲間たちの復讐、そして《影》を切り捨てたハンター協会への復讐だった…。「全てのハンターに死を!」宣戦布告をしたのは、かつてネテロと共にハンター協会を支えていた、《影》の隊長“ジェド”。“ハンター協会の闇”が、本作で明らかになる!!,"アニメ,アクション,キッズ"
ルパン三世 カリオストロの城,宮崎駿監督にとって初の劇場監督作品となる劇場版「ルパン三世」シリーズ第2弾。盗み出した大金が偽札と気づいたルパンと次元は、偽のゴート札の秘密を探るため、カリオストロ公国へやって来た。そして謎の男たちに追われていた少女クラリスを助けるのだが…。,"アニメ,アクション,サスペンス／ミステリー"
映画 それいけ! アンパンマン 虹のピラミッド,「虹の星」では、レインボー王子と虹の子たちが、美しい虹を作っている。ところが、虹の嫌いなばいきんまんが虹を生み出す「虹の玉」を奪ってしまった! 雨降り鬼とアメちゃんからその知らせをうけたアンパンマンたちが虹の星にやってくると、そこは砂おとこやばいきんまんが暴れる砂漠の星になっていた…。,"キッズ,アニメ,ファミリー"
映画 それいけ! アンパンマン 空とぶ絵本とガラスの靴,メロンパンナが図書館から借りてきた絵本は彼女のお気に入りのシンデレラ。でもその絵本の世界は魔物が暴れまわる荒れ果てたものだった。その夜、絵本から飛び出したフクロウのホッピーに導かれアンパンマンはおとぎの国を救いに向かった。だが、彼らのあとを追ってばいきんまんたちもおとぎの国へ…。,"キッズ,アニメ,ファミリー"
マダガスカル,大都会ニューヨークにあるセントラルパーク動物園の人気者、ライオンのアレックス、シマウマのマーティ、キリンのメルマン、カバのグロリアは仲良し4頭組。ある日、ペンギンズ達の計画にのって動物園から大脱走! だが、ニューヨークのど真ん中で人間に捕まって船で連れ去られてしまう。たどりついた先は…なんと、アフリカのマダガスカル! ごちそう、エステにサプリメントが大好きな都会生まれの4頭は、自然の中では生きられない! どうやったらこの島から脱出できるのか? 自然界で見つけた一番大切なものとは!?,"キッズ,アニメ,ファミリー"
映画 それいけ! アンパンマン てのひらを太陽に,行方不明のシャイン王子を探すため、くらやみ谷へ向かうリナちゃん。そのころ、くらやみ谷ではばいきんまんがブラック大魔王を閉じ込めていた壷を開けてしまって、さあ大変! いつものおなじみメンバーにだいこん役者も加わって、みんなで力を合わせてブラック大魔王をやっつけるぞ!!,"キッズ,アニメ,ファミリー"
映画 それいけ! アンパンマン ゆうれい船をやっつけろ!!,海に遊びに来たアンパンマンたちは海の白馬のマリンと出会い友達になった。マリンは空飛ぶ帆船を生み出す不思議な馬だ。だがそこへばいきんまんの魔の手が伸びる!,"キッズ,アニメ,ファミリー"
言の葉の庭,靴職人を目指す高校生･タカオは、雨の朝は決まって学校をさぼり、公園の日本庭園で靴のスケッチを描いていた。ある日、タカオは、ひとり缶ビールを飲む謎めいた年上の女性･ユキノと出会う。ふたりは約束もないまま雨の日だけの逢瀬を重ねるようになり、次第に心を通わせていく。居場所を見失ってしまったというユキノに、彼女がもっと歩きたくなるような靴を作りたいと願うタカオ。六月の空のように物憂げに揺れ動く、互いの思いをよそに梅雨は明けようとしていた。,"アニメ,恋愛,ヒューマンドラマ"
スラムダンク 湘北最大の危機! 燃えろ桜木花道,「スラムダンク」シリーズ劇場版第3作目。インターハイ県予選もいよいよ終盤。海南戦に惜敗した湘北バスケ部は、全国大会出場のため、もはや一敗もできない。そんな中、湘北に緑風高校から練習試合の申し込みが舞い込んでくる。3日後の試合に向けて慎重になるものの一、二年生だけの新設校と甘く見ていたものの、その内情は、全国のトップレベルのメンバーを集めただけではなく、本場アメリカでNBAにスカウトされたこともあるバスケット留学生･マイケル沖田や中学全国大会で活躍した名高もいた。果たして、この試合の行方は…。,"アニメ,スポーツ,キッズ"
映画 それいけ! アンパンマン リリカル★マジカルまほうの学校,空中に浮かんだ魔法の島、そこでアンパンマンは見習い魔女のリリカと知りあった。魔法の腕はイマイチだけど、元気いっぱいなリリカはアンパンマンと共にジャムおじさんたちのもとへ向かう。そこで彼女はみんなに暖かく迎えられたが、それと入れ替わるように、魔法の島へばいきんまんたちが現われて…。,"キッズ,アニメ,ファミリー"
マダガスカル3,一緒ならきっと奇跡は起きる!? ヨーロッパで指名手配になったアレックスと3頭の仲間たち。逃げ込んだのはニューヨーク公演を目指すおんぼろサーカス。これでついに故郷に帰れるのか?,"キッズ,アニメ,ファミリー"
映画 それいけ! アンパンマン とべ! とべ! ちびごん,梅雨の季節、みんなはジャムおじさんから、雨はドラゴン島にいるドラゴンが降らせるという話を聞いた。ところが、そのドラゴン島にばいきんまんたちがやってきた! その目的は、島に眠る緑の玉を手に入れ、世界中にバイキンの雨を降らせること。しかし、そこで彼らが見たのは、飛べないドラゴンの子、ちびごんだった…。,"キッズ,アニメ,ファミリー"
映画しまじろう「まほうのしまの だいぼうけん」,ある日、しまじろうは迷子のポカポムとまほうのしまへ冒険に出かけます。そこでは、毎年来るはずの春が来なくて魔法使いのアウラや村人たちが困っていました。みんなで協力して春を呼ぼうとするのですが、いたずらな3兄弟がやってきて…。果たして、まほうのしまに春を呼ぶことはできるのでしょうか?,"キッズ,アニメ,ファミリー"
マダガスカル2,あのオチャメな漂流者たちが帰ってきた! 前作をはるかに超える面白さ。不時着したアフリカ大陸で、前代未聞、抱腹絶倒の大冒険が幕を開ける。,"キッズ,アニメ,ファミリー"
大恐竜時代 タルボサウルス vs ティラノサウルス,この映画、超リアル! まさに動く大恐竜図鑑だ!! 最高の恐竜学者とモデラーたちの力で完成した17種類80頭の恐竜が総出動! 8千万年前、恐竜が暮らした最後の楽園である白亜紀恐竜時代。最後の帝王･タルボサウルスと家族を殺した最強の恐竜･ティラノサウルスの宿命の対決をダイナミックな映像と共に描く。,"アニメ,アクション,キッズ"
映画 それいけ! アンパンマン ばいきんまんの逆襲,いつもアンパンマンにやられてしまうばいきんまんは、仙人からどんな願いも叶えてくれる“メコイスの壷”のことを聞きます。西のピラミッドにあると知ったばいきんまんは、早速そこへ。また、その頃ヤーダ姫も同じ壷を探していました。ヤーダ姫の方が先にピラミッドを探したのですが、その時、ばいきんまんが新兵器を使い奪ってしまいます。ヤーダ姫の悲鳴を聞きつけてかけつけるアンパンマン。ばいきんまんから1度は壷を奪い返すのですが、巨大な風船爆弾によってアンパンマンは空中に飛ばされ…。,"キッズ,アニメ,ファミリー"
しまじろうとくじらのうた,ケガをした赤ちゃんクジラ「くうちゃん」を助けた、しまじろう。お母さんのもとに帰りたがっているくうちゃんのお世話をすることで、心を通わせていきます。安全だからという理由で、水族館に送られそうな「くうちゃん」。水族館に入ると二度とお母さんに会えなくなることを心配し、しまじろうたちは、くうちゃんをお母さんのもとに送り届ける旅に出ます。向かうは、くうちゃんのお母さんのいる遠い海。しまじろうは、無事にくうちゃんをお母さんに会わせることができるのでしょうか。,"キッズ,アニメ,ファミリー"
カンフー･パンダ2,ジャック･ブラックの世界一有名なパンダが帰ってきた! ドリーム･ワークス･アニメーションの「カンフー･パンダ2」は楽しさも最高。アカデミー賞にノミネートされた1作目に続く“期待どおり”の2作目“(スコット･ボウルズ、USAトゥデイ) だ。ポーが迎える、龍の戦士になって以来初の大きな試練。ポーの仲間たち、マスター･ファイブと共にかつてない強敵を倒す旅に出ることに。目が離せなくなる冒険にはノンストップアクションとすばらしい物語、美しいアニメーションがぎっしり詰まっている。,"キッズ,アニメ,アクション"
劇場版アイカツスターズ!,南の島のイベントに出演するため、四ツ星学園の生徒みんなで旅立ちます! そこの島には伝説のドレスが眠るという噂が…。ゆめとローラの友情物語あり、S4が初めて揃いステージに立ち、さらに伝説のドレスをドレスメイクして…。,"アニメ,音楽／ライブ,キッズ"
劇場版 魔法科高校の劣等生 星を呼ぶ少女,季節は過ぎ、もうすぐ二度目の春―。劣等生の兄と、優等生の妹。ふたりの魔法科高校での生活は、その一学年目を終えようとしていた。達也、そして深雪たちは春休みを利用して、小笠原諸島のとある別荘へと休暇に訪れていた。束の間の休息に羽根を伸ばす達也たち。しかし、そんな達也たちの前にひとりの少女“九亜”が現れる。海軍基地から脱走してきたその少女は達也にひとつの願いを告げる―。,"アニメ,ファンタジー,SF"
劇場版 鋼の錬金術師 シャンバラを征く者,二つの世界に引き裂かれてしまったエルリック兄弟。現実世界のミュンヘンに飛ばされた兄のエドは、弟に似た若者の力を借り、故郷へ帰ろうと試みていた。一方、錬金術世界のアメストリスでは、弟のアルが兄の行方を追って旅を続けていた。果たして、二人は再会できるのか?,"アニメ,ファンタジー,キッズ"
カンフー･パンダ,カンフーを愛する心は人一倍、でもカンフー･マスターなんて夢見るだけのポーは、師匠のシーフー老師、憧れのカンフーの達人「マスター･ファイブ」の力を借りながら、厳しい特訓を受け成長していく。,"キッズ,アニメ,アクション"
ザ･シンプソンズ MOVIE,アメリカの田舎町、スプリングフィールド。シンプソン一家のダメ親父ホーマーは、息子のバートに「素っ裸でスケボーに乗ってバーガーショップまで行ってこい」とけしかけ、このせいでバートはさんざんな目に。一方、優等生の長女リサは湖の汚染に心を痛め、環境保護運動に熱中。やがてホーマーはバーガーショップで助けたブタをペットとして飼い始め、一風変わった愛情を注ぐようになる。ところが! ホーマーのある行動から、スプリングフィールドは絶対絶命の危機に陥ってしまう! 町の人々の怒りを買ったホーマーは、家族と共にアラスカに逃亡。しかし愛情深い妻のマージも今度ばかりはあきれ果て、ホーマーを残して子供たちと町を救出に向かうことを決意する…。,"アニメ,コメディ"
映画 それいけ! アンパンマン 恐竜ノッシーの大冒険,アンパンマンとその仲間たちがピクニックに向かう途中、ばいきんまんと岩男の襲撃を受けてしまった。幸いアンパンマンたちの活躍で岩男は倒されたが、そのときの影響でみんな異次元に飛ばされてしまう。しかも、その世界は恐竜たちが暮らす世界だった。そこでアンパンマンたちは恐竜の子、ノッシーと知りあう…。,"キッズ,アニメ,ファミリー"
しまじろうと えほんのくに,しまじろうたちを呼ぶ愛らしい声とともに、なんと絵本の中に吸い込まれてしまったしまじろうたち…! かわいらしい「プニたん」と出会い、いっしょに森やお菓子の町などさまざまな世界を進んで、絵本の国をたすける冒険に出ます。途中しまじろうと、とりっぴいがけんかをしたり、絵本の住人たちに追いかけられたり大変なことに。はたして、みんなは絵本の国をたすけ、無事に元の世界に帰ることができるのでしょうか?,"キッズ,アニメ,ファミリー"
しまじろうとフフのだいぼうけん ～すくえ! 七色の花～,ある日、しまじろうたちの住むちゃれんじ島の花がみんな枯れてしまいました。その原因を知る花の姫フフと出会ったしまじろうたちは、協力してフフのお母さん、「七色の花」の救出に向かうことに…。,"キッズ,アニメ,ファミリー"
