タイトル,あらすじ,ジャンル
インフェルノ (吹替版),記憶喪失状態でフィレンツェの病院で目覚めたロバート・ラングドン教授（トム・ハンクス）は何者かに命を狙われるも、医師のシエナ・ブルックス（フェリシティ・ジョーンズ）の手引きで事なきを得る。やがて二人は、人口増加を危惧する生化学者バートランド・ゾブリスト（ベン・フォスター）が人類の半数を滅ぼすウイルス拡散をたくらんでいることを知る。彼らは邪悪な陰謀を阻止すべく、ゾブリストがダンテの叙事詩「神曲」の「地獄篇」に隠した謎の解明に挑むが……。,サスペンス
ダ・ヴィンチ・コード (字幕版),ルーブル美術館で殺された館長の周りに残された不可解な暗号。容疑者として現場に連れてこられたラングドンは、館長の孫娘で暗号解読者のソフィーに助け出される。ファーシュ警部をはじめとするフランス司法警察に追跡されながら、暗号の謎を解き始めるふたり。そこに歴史を覆す驚愕の真実が・・・！,サスペンス
ワイルド・スピード EURO MISSION (吹替版),"ヴィン・ディーゼル、ポール・ウォーカー、ドウェイン・ジョンソンたちおなじみのキャストが再集結。世界中で大ヒットした「ワイルド・スピード」シリーズが、新たな土地を舞台にスピード・レースを繰り広げる。同シリーズで人気のジョーダナ・ブリュースター、ミシェル・ロドリゲス、タイリース・ギブソン、サン・カン、ガル・ギャドット、クリス・""リュダクリス""・ブリッジス、エルサ・パタキに加えルーク・エヴァンスとジーナ・カラーノが新たに参加。シリーズ中、最も危険なミッションに挑む。前回、リオデジャネイロで犯罪組織を打倒したドミニク(ディーゼル)とブライアン(ウォーカー)たちは、1億ドルの大金を手に入れ世界各地に散らばっていた。しかし、逃亡犯の彼らは故郷に帰ることもできず、自由な生活を送れずにいた。",アクション
ルイスと不思議の時計 (吹替版),"魔法の時計が鳴る前に、時計の謎を解いて、世界を救え！ 両親を亡くした少年ルイスは、叔父であるジョナサンの古い屋敷に住むことになるが、なんと、おじさんは、二流のポンコツだが、不思議な力を使える魔法使いだった。そして、隣に住むきれいで優しいツィマーマンも魔女。ただし、こちらは一流。ルイスはそんな二人と時計がいっぱいの屋敷で不思議な暮らしを始める－。 ある日、屋敷に世界を破滅へと導く""時計""が隠されていることを知ったルイス。果たして、二人の魔法使いと""時計""を探し出して謎を解き、世界を救うことができるのか！？ © 2018 Universal Studios and Storyteller Distribution Co., LLC. All Rights Reserved.","コメディー,キッズ,外国映画"
フィフティ・シェイズ・フリード (字幕版),大学生だったアナ（ダコタ・ジョンソン）が学生新聞の取材で運命的な出会いを果たした、若くして巨万の富を手にしていた超絶イケメンCEOのクリスチャン・グレイ（ジェイミー・ドーナン）。アナとの秘密の関係をより深く縛ろうとするクリスチャンに対して、彼の歪んだ愛の形を受け入れられないアナは、一旦は彼の元を去っていく。その後、求め合う炎が絶えることのなかった二人は再び結ばれ、お互いに単なる快楽以上の”愛情”を感じるようになっていったのだった。,"ドラマ,ロマンス"
ジュラシック・ワールド／炎の王国 (字幕版),あの大惨事から3年―大人気テーマパークのジュラシック・ワールドは放棄され、恐竜たちは大自然の中で自由に生活を始めていた。しかし、島で火山噴火の予兆がとらえられていた。迫り来る危機的状況の中、恐竜たちの生死を自然にゆだねるか、命を懸けて救い出すか。人間を救うためではなく、恐竜のための選択を迫られる。,"アクション,SF,アドベンチャー"
ロスト・ボディ（吹替版）,死体失踪。『永遠のこどもたち』『ロスト・アイズ』の製作チームが放つスリラー。スペインのトップ・スターたちによるハイレベルな演技合戦も見どころ！,"サスペンス,ホラー"
6才のボクが、大人になるまで。(字幕版),"12年間に渡って同じキャストを撮影し続けるというユニークな試みにより綴られた、画期的な成長物語。スクリーン上で実際に成長していく主人公メイソン（エラー･コルトレーン）の両親をイーサン･ホークとパトリシア･アークエットが演じた。コールドプレイの「イエロー」やアーケイド･ファイアの「ディープ･ブルー」など数々のヒット曲をちりばめて、これまでのどんな映画にもない手法で少年時代の葛藤を描き出す。 © 2014 IFC Productions I, L.L.C. and Boyhood Inc. ALL RIGHTS RESERVED.",ドラマ
300＜スリーハンドレッド＞～帝国の進撃～(字幕版),"300＜スリーハンドレッド＞の激闘は終わってはいない。 壮絶な流血戦の舞台は、大海原へ！ Rating R15+ (C) 2014 Warner Bros. Entertainment Inc. and Legendary Pictures Funding, LLC. All rights reserved.",アクション
ロスト・ボディ（字幕版）,死体失踪。『永遠のこどもたち』『ロスト・アイズ』の製作チームが放つスリラー。スペインのトップ・スターたちによるハイレベルな演技合戦も見どころ！,"サスペンス,ホラー"
ピッチ・パーフェクト ラストステージ (字幕版),“歌うこと”を通じて最高の仲間たちと出会い、世界大会の優勝という有終の美を飾ってバーデン大学を卒業したベラーズの面々。そんな彼女たちも大学を卒業して、今や立派な社会人。ところが、輝かしい学生時代とは異なり、キャリアも恋も絶不調。想像していた人生とは雲泥の差、挫折を味わう日々だった。そんなとき、USO（米軍慰問団）の海外ツアーでベラーズ再結成のチャンスを得る。さらにツアー中にDJキャレドに認められれば、彼のツアーの前座としてパフォーマンスできると知り、ベラーズの栄光を取り戻そうと大張り切り。ところが参加バンドはこれまで以上に強敵な上、予期せぬハプニングにも襲われてしまう。夢と現実と友情の間で揺れるベラーズ。人生の岐路に立たされた彼女たちが最終的に選んだ道は……。,コメディー
ワイルド・スピード MEGA MAX (吹替版),ヴィン・ディーゼルとポール・ウォーカーがオールスターキャストを率い、猛スピードのカーアクションで魅せる爆発的人気の「ワイルド・スピード」シリーズ第５弾！ブラジルのリオデジャネイロを舞台に、警官とカーレーサーたちが奇妙な共同戦線を結ぶ、ハイスピードの大金強奪作戦！,アクション
ワイルド・スピード EURO MISSION (字幕版),ヴィン･ディーゼル、ポール･ウォーカー、ドウェイン･ジョンソンたちおなじみのキャストが再集結。,アクション
スカイスクレイパー(吹替版),ウィルは、FBI人質救出部隊のリーダーだったが、ある事件で義足になったのをきっかけに、家族とともにザ・パールに住みながら、ビルのセキュリティシステムを調査する仕事に就いていたが、突如ザ・パールで大規模な火災が発生。ウィルの家族がいる住居フロアにも炎が迫る中、なぜかウィルが警察から事件の容疑者として指名手配されてしまう。© 2018 Universal Studios. All Rights Reserved.,"アクション,アドベンチャー"
ワイルド・スピード (吹替版),極限までチューンアップされたスポーツカーによるハイスピードバトルを描いた作品。LAで毎晩行われるストリートレースでは、ニトロ搭載のスポーツカーを乗り回す天才ドライバーのドミニクと彼のライバルのジョニー・トラン（リック・ユーン）が最強のレーサーとして仲間から一目置かれている。そこに新顔のブライアンが登場し、実は警察官である彼は二人に負けないドライビングテクニックを披露して、皆の注目を浴びる。シリーズ第１弾の『ワイルド・スピード』は、強烈なアクセル全開アクションと見事なスタントドライビングがあふれる作品だ。,"ドラマ,アクション"
ワイルド・スピード　MAX (吹替版),オリジナルキャストのヴィン・ディーゼルとポール・ウォーカーがミシェル・ロドリゲスとジョーダナ・ブリュースターと再び顔を揃えた『ワイルド・スピード』シリーズの究極編！恋人の復讐のためLAに舞い戻ってきた指名手配中のドミニク・トレット（ヴィン・ディーゼル）。そこで過去の敵である捜査員ブライアン・オコナーに遭遇し、しばらくぶりの再会となる。LA市街やメキシコでスピードチェイスを繰り広げる二人が共通の敵を追っていることが判明し、お互いへの忠実性が試される。大型トラックの強奪からトンネルでのハイスピードドライビングなど、『ワイルド・スピードMAX』はルールは完全無視、アドレナリンラッシュ満載のハイスピードアクション映画。,"ドラマ,アクション"
メン・イン・ブラック (吹替版),"ニューヨーク市警の刑事エドワーズは、黒いスーツに身を包んだ男""Ｋ""にスカウトされ、最高機密機関ＭＩＢ（ＭＥＮ ＩＮ ＢＬＡＣＫ）の一員となる。過去を抹殺され、名前もただの""Ｊ""となった彼は、現在地球上に約１，５００ものエイリアンが人間に姿を変えて暮らしている事を知る。エイリアン達が犯罪や侵略行為に出ないよう監視し、その存在を世間から隠す事がＭＩＢの任務だった。そして、ベテラン捜査官の""Ｋ""と新米の""Ｊ""を待っていたのは、銀河系の存亡を賭けた戦いだった・・・。","アクション,SF"
ワイルド・スピード MEGA MAX (字幕版),ヴィン・ディーゼルとポール・ウォーカーがオールスターキャストを率い、猛スピードのカーアクションで魅せる爆発的人気の「ワイルド・スピード」シリーズ第５弾！お尋ね者のドミニク・トレット（ヴィン・ディーゼル）は、相棒の元警官のブライアン・オコナー（ポール・ウォーカー）と、ブラジルのリオデジャネイロの裏社会で暮らしていた。だが、凄腕のアメリカ連邦捜査官（ドウェイン・ジョンソン）が率いる組織犯罪対策班と、麻薬組織のボスに飼われている腐敗した警官たちに追われる身だった。２人は、追っ手を出し抜き、自由を得るために、無謀にも１億ドルもの大金を奪うという最後のヤマに賭ける！,アクション
ワイルド・スピードX2 (吹替版),スピード、アクション、アドレナリン満載で話題を集めた『ワイルド・スピード』の続編『ワイルド・スピードX2』は、さらにパワーアップしたスリルとアクションをお届けする。逃走中の元警官ブライアン・オコナー（ポール・ウォーカー）がストリートレースで驚異的なスピードと運転を再度披露。彼のドライビングテクニックに目をつけたアメリカ政府は、国際的な麻薬王の摘発にブライアンを採用し、囮捜査官として犯罪組織に潜入させる。スピードキチガイの相棒（タイリース・ギブソン）とゴージャスな囮捜査官（エヴァ・メンデス）が加わり、命をかけて正義を追求する凄まじいレースとなる続編だ。,"ドラマ,アクション"
アイアンマン (吹替版),"""アフガニスタンで自社兵器のデモ実験に参加したトニー・スタークは、テロ組織に襲われ拉致されてしまう。胸に深い傷を負い捕虜となった彼は、組織のために最強兵器の開発を強制される。トニーは装着することで、圧倒的な破壊力とパワーを発揮できる戦闘用パワードスーツを敵の目を盗み開発。敵地からの脱出に成功するが、奇跡的に生還したトニーは、ある事実を知り愕然とする・・・。自らが社長を務める会社が開発した兵器がテロ組織に使用されていたのだ。トニーはその償いをすべく、テロ撲滅に命を捧げることを決断。最先端の技術を駆使し、新たなパワードスーツの開発に着手する。",アクション
ワイルド・スピードX3 TOKYO DRIFT (吹替版),無茶な暴走行為で地元にいられなくなった高校生ショーンは父親の駐留する東京へやってきた。ハイスクールで知り合った留学生のトゥインキーに連れられて、ショーンははじめて究極のドライブ・テク“ドリフト”に出会う。だがそれは、ドリフト・キングの異名をとる男、D.Kとの熾烈な戦いのはじまりでもあった。熱いカーマニアたちに囲まれ、ドリフト・テクを猛練習するショーン。そして激しいライバル心を燃やすD.K.ショーンとD.Kは、極限のドリフト・レースで勝負することになるが――！,"ドラマ,アクション"
メン・イン・ブラック２ (吹替版),５年前、相棒のＫと共に地球の危機を救ったＪは、今やＭＩＢのエリート捜査官として平穏な毎日を送っていた。しかし、そんな彼の前に地球上では下着のモデルとして活躍している超セクシーエイリアンのサーリーナが現れ、ＭＩＢ本部を占拠してしまう。一人助かったＪが頼れるのは、エージェント時代の記憶を抹消されて郵便局長として働く元相棒のＫだけ。果して我等が地球の運命は、この２人によって救われるのか！！,"アクション,SF"
ジュピターズ・ムーン（吹替版）,医療ミスで病院を追われた医師・シュルテンは、難民キャンプで働きながら違法に移民を逃すことで賠償金を稼ぎ、遺族による訴訟取り下げを目論んでいた。ある日、被弾し瀕死の重傷を負った少年アリアンが運び込まれる。シュルテンはアリアンが重力を操り浮遊する能力を持ち、さらには傷を自力で治療できることを知り、金儲けのためにキャンプから連れ出す。その頃アリアンを違法銃撃した国境警備隊は口封じのため彼らを追い始める。2017 (C) PROTON CINEMA MATCH FACTORY PRODUCTIONS KNM,"SF,アクション,アドベンチャー"
博士と彼女のセオリー (吹替版),エディ･レッドメインが著名な科学者スティーヴン･ホーキング博士を演じ、称賛を浴びた。かつては若く健康で活動的だったスティーヴン。21歳の時、彼はケンブリッジ大学の学生であるジェーン･ワイルド（フェリシティ･ジョーンズ）と出会い恋に落ちるが、時を同じくして余命宣告を受ける。ジェーンの献身的な支えを受け、スティーヴンは意欲的に研究に打ち込む。その内容は彼にとってまさに貴重なもの、時間についてだった。２人は力を合わせて絶望的な状況に立ち向かい、誰にも想像できなかった偉業を成し遂げる。,"ドラマ,ロマンス"
ショーシャンクの空に(吹替版),とある刑務所の受刑者が勝ち取り、分け与えた解放と救い－。誰の心にも静かに、爽やかな感動が訪れる…。 Rating PG12 (C) 1994 Castle Rock Entertainment. (C) Dividen Productions/PeepShow Pictures. (C) 2004 Warner Bros. Entertainment Inc. All rights reserved.,ドラマ
メン・イン・ブラック 3 (吹替版),エージェント“J”と“K”のコンビは今日も奇想天外なエイリアンたちを監視し、その暴走を取り締まるべく奔走していた。ある日、Jは単独で事件を追うＫを不審に思い、その真相を問い詰めるも全く取り合ってもらえない。翌日、不信感を募らせたJはKを探すが、どこを探してもKの姿が無い。さらにMIBの上司からは、「Kは４０年前に亡くなった」という理解不能な発言が飛び出す。混乱するＪ。何者かが過去を書き換えたのか？そして、時を同じくしてエイリアンの侵略が一斉に始まり、地球は未曽有の危機に陥る―。一体、Kの身に何が起こったのか？そして、黒幕はいったい誰なのか？すべての謎を解き明かし、地球の危機を救うため、Jは４０年前の世界にタイムスリップを試みる―。果たして、Jは未来を救うカギを見つけることが出来るのか？そして、過去の世界で明かされる、JとKの関係にまつわる衝撃の真実とは！？,"SF,コメディー"
アメイジング・スパイダーマン (吹替版),"ピーター・パーカーは、ちょっとサエナい高校生。正義感は強いが、女子にはモテない。両親は彼が幼いときに謎の失踪をとげ、以来ベンとメイの伯父夫婦に育てられてきた。ある日ピーターは父の消息を探るため、オズコープ社で遺伝子を研究するコナーズ博士を訪ね、実験中の蜘蛛にかまれてしまう。翌日、ピーターの人生は激変する。蜘蛛のように自由自在に動き回れるパワーとスピード、超感覚で危険を感知する ""スパイダーセンス""を身につけたのだ。ピーターはその能力で悪と闘い、""スパイダーマン""と呼ばれるスーパーヒーローとなる。",アクション
ミッション：インポッシブル／ ゴースト・プロトコル (字幕版),計画も、サポートも、選択も、ない。ロシアのクレムリンが爆破されIMFはその犯行に関与したとみなされる。 容疑を晴らすべくエージェントのイーサン・ハント（トム・クルーズ）と彼のチーム（「アベンジャーズ」のジェレミー・レナー、「スター・トレック」のサイモン・ペッグ）は密かに行動を開始。 彼らが突き止めたのは核戦争をめぐる陰謀だった。世界を救うべく、ありとあらゆるハイテク機器を駆使し、最高に縦横で危険なミッションに命がけで挑む！,アクション
トップガン (字幕版),海軍エリート・パイロット養成学校のナンバーワン、マーヴェリックの栄光と挫折、そして恋を描いて空前の大ヒットを記録したトム・クルーズの出世作。迫力満点のアクションと音楽、なによりも本作に登場するF14トムキャットほか数々の戦闘機と空中戦こそ5.1チャンネル音響での再生がふさわしいと思うはずだ。,アクション
アイアンマン(字幕版),"""アフガニスタンで自社兵器のデモ実験に参加したトニー・スタークは、テロ組織に襲われ拉致されてしまう。胸に深い傷を負い捕虜となった彼は、組織のために最強兵器の開発を強制される。トニーは装着することで、圧倒的な破壊力とパワーを発揮できる戦闘用パワードスーツを敵の目を盗み開発。敵地からの脱出に成功するが、奇跡的に生還したトニーは、ある事実を知り愕然とする・・・。自らが社長を務める会社が開発した兵器がテロ組織に使用されていたのだ。トニーはその償いをすべく、テロ撲滅に命を捧げることを決断。最先端の技術を駆使し、新たなパワードスーツの開発に着手する。",アクション
ジョニー・イングリッシュ　気休めの報酬（字幕版）,ローワン・アトキンソンがドジな英国諜報員“ジョニー・イングリッシュ”に扮するスパイ・パロディの第２弾。この作品では、中国首相を暗殺し世界を大混乱に陥れようとする国際暗殺グループの計画を阻止するのがジョニーの任務だ。再度お呼びがかかったジョニーが、世界を守るため、また大活躍を披露してくれる。共演はエミー賞受賞女優ジリアン・アンダーソンやドミニク・ウェストだ。,"コメディー,アクション"
ボブという名の猫　幸せのハイタッチ,ロンドンでプロのミュージシャンを目指すが夢破れ、ホームレスとなった青年ジェームズ。薬物中毒から抜けだせずどん底の生活を送っていた彼のもとにある日、一匹の野良猫が迷いこむ。ケガをしたその猫（ボブと命名）を有り金をはたいて助けて以来、ふたりはどこへ行くにも一緒、次第にその動向が世間の注目を集めるようになる。しかし、彼らの前に次々と試練と困難が立ちはだかり……。　(C) 2016 STREET CAT FILM DISTRIBUTION LIMITED ALL RIGHTS RESERVED.,ドラマ
メカニック：ワールドミッション(吹替版),"殺し屋から足を洗ったビショップのもとに暗殺の依頼が入る。幼少期に暗殺者として一緒に育てられたが、ビショップを裏切って逃げた兄弟子のクレインからだ。ビショップは断るが、何の罪もない女を人質にとられ、やむなく復帰する。ターゲットは武器商人として世界を裏で操る巨大フィクサー。やがてビショップは成功/失敗にかかわらず死が待つことを知る。しかも、クレインはこの世でただ一人、ビショップの弱点を知る男だ。果たして、超難関ミッションの行方は!?そして、クレインの真の目的とは!? Rating G (C) ME2 Productions, Inc. 2016",アクション
殺人者の記憶法(字幕版),獣医のビョンスはアルツハイマーで元連続殺人鬼という顔を持ち、日々の出来事を“録音”することを習慣に過ごしていた。ある日、接触事故を起こし謎の男テジュに出会う。その目つきに彼もまた殺人犯だと確信し、警察に通報するがまともに取りあってもらえない。やがてテジュはビョンスの愛娘ウンヒの彼として目の前に現れる。ビョンスは1人でテジュを捕らえようとするが、アルツハイマーにより記憶は途切れ混乱していく。そうしてまた始まった連続殺人事件……。これはヤツの仕業なのか？(C)2017 SHOWBOX AND W-PICTURES ALL RIGHTS RESERVED.,サスペンス
Love & Other Drugs (字幕版),アン・ハサウェイ×ジェイク・ギレンホールで贈る、エッチなのにキュンとくるロマンティック・コメディ！ホンモノの愛は、アレから始まる!?,"コメディー,ロマンス,ドラマ"
トムとジェリー スパイ･クエスト(吹替版),毎度お騒がせコンビのトムとジェリーがビーチでバッタリ出会ったのは……世界的に有名なスパイ少年のJ.Q.（ジョニー・クエスト）。実はクエスト博士が世界のエネルギー問題を解決する装置を持っていることを宿敵のジン博士が嗅ぎつけ、手下の邪悪なネコ軍団を使ってその装置を盗み出し・・・。2匹はジョニーの父親を探し出し、世界を界を救えるのか？ No Rating TM & (c) Turner Entertainment Co. (s15),"キッズ,アニメ"
ゆれる人魚(字幕版),"1980年代のポーランド・ワルシャワで、人間たちを捕食して生きる美しい人魚姉妹は海からあがりナイトクラブにたどりつく。ストリップやライヴ演奏を披露する大人の社交場で、ふたりは得意のダンスと歌を披露し、すぐにスターになる。そんななか、姉シルバーはベーシストの青年ミーテクと恋に落ちる。初めての恋に浮かれるシルバーだが、妹ゴールデンは、そんな姉を複雑な眼差しで見つめていた。人魚にとって、人間の男は“餌”でしかないからだ。やがてふたりの間に生じた緊張感は限界に達し、残虐で血なまぐさい行為へと彼女たちを駆り立てる……。(C)2015WFDIF, TELEWIZJA POLSKA S.A, PLATIGE IMAGE",ホラー
パシフィック・リム／アップライジング(吹替版),“KAIJU”群と巨大兵器“イェーガー”の戦争から10年、世界は混沌としながらも、平和を取り戻そうとしていた。ある日、PPDC（環太平洋防衛軍）の会議が開催されようとしているところに、正体不明の“イェーガー”が襲撃をかける。それが新たなる戦争の始まりだった…。,"SF,アクション,アドベンチャー"
6才のボクが、大人になるまで。(吹替版),"12年間に渡って同じキャストを撮影し続けるというユニークな試みにより綴られた、画期的な成長物語。スクリーン上で実際に成長していく主人公メイソン（エラー･コルトレーン）の両親をイーサン･ホークとパトリシア･アークエットが演じた。コールドプレイの「イエロー」やアーケイド･ファイアの「ディープ･ブルー」など数々のヒット曲をちりばめて、これまでのどんな映画にもない手法で少年時代の葛藤を描き出す。 © 2014 IFC Productions I, L.L.C. and Boyhood Inc. ALL RIGHTS RESERVED.",ドラマ
ルイスと不思議の時計(字幕版),"主人公は10歳の少年、ルイス。不慮の事故で両親を亡くした彼は、伯父のジョナサンに引 き取られる。初めて会った伯父さんは、やさしそうだけど、ちょっぴり変な感じ。伯父さんが一 人で暮らす古い屋敷には、なぜかたくさんの時計が置かれ、怪しげなムードが漂っている。し かも隣に住むツィマーマン夫人も、なんだか奇妙……。じつはこの二人、魔法使いだった！ しかもジョナサンはポンコツの魔法使い。ツィマーマン夫人は一流の魔女!? ジョナサンの屋敷 に隠された魔法の時計をめぐり、ルイスと二人の魔法使いが、信じがたい世界の扉を開く！ © 2018 Universal Studios and Storyteller Distribution Co., LLC. All Rights Reserved.","コメディー,キッズ,外国映画"
ピクセル (吹替版),地球や人類の文化についての情報を電波に乗せて、宇宙人との交流を図ろうとしていたプロジェクト。それを宇宙人が受信したものの、彼らは人類からの宣戦布告だと勘違いしてしまう。「パックマン」「ギャラガ」「ディグダグ」「ドンキーコング」「スペースインベーダー」と、送られた情報からテレビゲームについて知った宇宙人たちはそれらに出てくるキャラクターに姿を変えて地球を侵攻し始める。巨大なキャラクターが次々と現れ、都市をブロック化していく事態に世界はパニックに陥り……。,"アクション,SF"
トランスフォーマー／最後の騎士王(吹替版),地球を破壊し、サイバトロン星を蘇らせようとするオプティマス･プライム。偉大なるヒーローが地球の最も恐ろしい敵と化してしまう。バンブルビーとケイド･イェーガー（マーク･ウォールバーグ）は人類を滅亡から救うため、オートボットを率いて、究極の戦いを繰り広げる。,"SF,アクション,アドベンチャー"
300＜スリーハンドレッド＞～帝国の進撃～(吹替版),"300＜スリーハンドレッド＞の激闘は終わってはいない。 壮絶な流血戦の舞台は、大海原へ！ Rating R15+ (C) 2014 Warner Bros. Entertainment Inc. and Legendary Pictures Funding, LLC. All rights reserved.",アクション
グリンチ (字幕版),友達も家族もいないグリンチはいつもひとりぼっち。愛犬マックスと村はずれの洞窟で誰とも会わずに暮らし、ハートの大きさは普通の人よりもずっと小さくなった。そんなグリンチが一番嫌いなものは、村中が幸せな気持ちに包まれるクリスマス！ グリンチは、とんでもない計画を企てる。一方、村に暮らす心優しい少女シンディ・ルーは、仕事や家事に忙しいお母さんを助けるために、サンタクロースにある願い事を叶えてもらおうとしていた。© 2018 Universal Studios. All Rights Reserved.,"コメディー,キッズ"
Ｍ：ｉ：ＩＩＩ (字幕版),不可能なミッションを遂行してきた天才的スパイのイーサン・ハント（トム・クルーズ）は、敵の罠に落ち、前例のない衝撃的な計画に翻ろうされてしまう。イーサンは己との戦いを克服し、成功率0％の任務を成し遂げるため、ヨーロッパやアジアへと飛ぶ。そして最高機密組織I.M.F.の新たなるメンバーとともに任務を遂行するが…。,アクション
スカイスクレイパー (字幕版),超高層、超豪華、超安全なビルで超危険な大事件発生!! 香港に新しく建設された、高さ1キロメートル、240階建ての世界最大のビル「ザ・パール」。住居だけでなく、ホテル、公園、オフィス、ショッピングモール、コンサートホール、展望台など、あらゆる設備が揃い、ビル自体が一つの街になっていると言っても過言ではなかった。© 2018 Universal Studios. All Rights Reserved.,"アクション,アドベンチャー"
レ・ミゼラブル (2012) (字幕版),19世紀のフランスを舞台にした本作は、果たせぬ夢、報われぬ恋、情熱、犠牲、そして贖罪という、心奪われる物語を描き出す。これは、時代を超えて生き続ける人間の魂の証しなのだ。ジャックマン演じる元囚人ジャン・バルジャンは、仮出獄後に逃亡し、それ以来何十年もの間、無慈悲な警部ジャベール（クロウ）の執拗な追跡を受けていた。そんな折、バルジャンは工場労働者ファンテーヌ（ハサウェイ）の幼い娘コゼットの面倒を見ることを約束する。だが、その約束が彼らの人生を永遠に変えてしまうのだった。,アート・エンターテイメント・カルチャー
